case_id,slice_idx,Boundary Dice,Boundary Precision,Boundary Recall,HD95,ASSD,pred_pixels,gt_pixels
coronacases_003,42,1.0294116602076229e-07,1.0,1.470588233131488e-09,,,0,77
coronacases_003,43,1.0285713242040921e-07,1.0,1.4285714265306123e-09,,,0,75
coronacases_003,44,1.0298506417019486e-07,1.0,1.4925373112051683e-09,,,0,101
coronacases_003,45,1.0224718066910847e-07,1.0,1.1235955043555108e-09,,,0,76
coronacases_003,46,0.21782185342612825,1.0,0.12222222319753086,113.7171156031858,59.57030212839594,7,128
coronacases_003,47,0.3333333899470852,1.0,0.20000000076190477,111.19350642210469,55.08304961938614,31,143
coronacases_003,48,0.3184713957483013,1.0,0.18939394000803492,109.05960286617517,44.11580702606436,36,182
coronacases_003,49,0.7903225934963571,1.0,0.6533333335644445,8.6536172634861,1.8737134300395701,141,259
coronacases_003,50,0.7851851986602729,0.938053097399953,0.6751592358756947,10.723399819563308,2.7358003758987617,233,319
coronacases_003,51,0.8650137819602268,0.9127906977251217,0.8219895288890107,3.0,1.095584688430647,355,401
coronacases_003,52,0.8769575014392822,0.9468599034073141,0.8166666667430555,4.879780736953234,1.395797605562556,543,677
coronacases_003,53,0.8728813632570305,0.9074889868248948,0.8408163265955851,3.0,1.4402418014714071,717,771
coronacases_003,54,0.8990099066228503,0.9618644067958202,0.8438661710617597,5.89561778797634,1.3320752505297158,891,930
coronacases_003,55,0.90359168779036,0.9122137404915214,0.8951310861815988,2.8284271247461903,0.8266263280222726,1032,957
coronacases_003,56,0.8892674678786285,0.9812030075258635,0.813084112207762,14.755102835952869,1.9569741834668757,1133,1243
coronacases_003,57,0.913907289505573,0.9292929293167363,0.8990228013358232,2.8284271247461903,0.9835401311419371,1310,1417
coronacases_003,58,0.9240710865236091,0.916666666693376,0.9315960912274931,2.23606797749979,0.84779915212456,1515,1550
coronacases_003,59,0.9218500840071943,0.9059561128821454,0.938311688331717,2.23606797749979,0.8405740970255321,1664,1609
coronacases_003,60,0.9753846166539711,0.9694189602540003,0.9814241486125622,2.0,0.7290804163430789,1889,1759
coronacases_003,61,0.9319826375325291,0.9387755102219314,0.9252873563433083,2.23606797749979,0.9770310966593017,2008,1995
coronacases_003,62,0.8888888951395046,0.954022988518959,0.8320802005433383,7.070027472320129,2.908752182708318,2148,2172
coronacases_003,63,0.8419721964209054,0.9433427762200162,0.7602739726574717,14.490728693531421,3.2887890636496335,2296,2420
coronacases_003,64,0.8875878283226796,0.9742930591325725,0.8150537634806336,5.830951894845301,3.407541965928649,2514,2655
coronacases_003,65,0.850710909242246,0.9134860051110723,0.7960088692248317,6.4031242374328485,3.4590905651178145,2715,2922
coronacases_003,66,0.8004722675277933,0.8033175355916309,0.7976470588711418,8.341839300436614,3.2414292419151662,3034,3082
coronacases_003,67,0.7727797148452886,0.7427937916313095,0.8052884615852672,4.47213595499958,1.432104668848042,3297,3364
coronacases_003,68,0.8453837689096245,0.8315098468640022,0.859728506819066,3.605551275463989,1.2799770761197737,3423,3387
coronacases_003,69,0.7918455067330387,0.7639751553283696,0.8218262806632903,6.708203932499369,2.0815306483373255,3490,3739
coronacases_003,70,0.8475247614938538,0.8716904277247066,0.8246628131359032,5.0,1.483976848751253,3781,3885
coronacases_003,71,0.8810656585199472,0.920477137192748,0.8448905109772099,3.605551275463989,1.229888425202069,4008,3790
coronacases_003,72,0.8930936673109738,0.8922495274305767,0.8939393939594813,2.8284271247461903,1.0897974806978783,4024,3822
