threshold,min_area,dice,iou,sensitivity,specificity,precision,mae
0.35000000000000003,50,0.76943386,0.68621147,0.76034933,0.9976574,0.88576084,0.006054814
0.5,30,0.76853245,0.68494457,0.747599,0.99802506,0.8994351,0.0060728397
0.6500000000000001,0,0.76759225,0.68130744,0.7337209,0.99836046,0.9067339,0.006178782
0.6500000000000001,5,0.7675593,0.6812613,0.7336668,0.9983606,0.9067264,0.006180284
0.6500000000000001,10,0.76749647,0.6811597,0.7334994,0.9983615,0.90680104,0.006187083
0.4,50,0.7671885,0.68369716,0.75303876,0.9978008,0.89038384,0.00608968
0.1,75,0.7671632,0.68498665,0.790028,0.99661744,0.8533942,0.0061696107
0.6000000000000001,20,0.7670831,0.6821025,0.7379016,0.9982547,0.90291554,0.006144074
0.55,30,0.7667668,0.68271446,0.74152887,0.99815047,0.9039643,0.0061186953
0.05,100,0.7650759,0.6805206,0.7990841,0.99613994,0.8358776,0.0063928002
0.15000000000000002,75,0.76492655,0.68254644,0.7766614,0.99694633,0.8625308,0.0061369585
0.2,75,0.7643425,0.68199956,0.7685315,0.9971938,0.8706365,0.006103832
0.7000000000000001,0,0.76432365,0.6774072,0.72639203,0.99846935,0.9112639,0.0062671723
0.7000000000000001,5,0.7642834,0.67734396,0.726321,0.99846953,0.9112658,0.006269544
0.7000000000000001,10,0.76411575,0.677133,0.7260392,0.9984705,0.91129,0.006276659
0.6000000000000001,30,0.7639763,0.6795238,0.7345576,0.99826986,0.90724015,0.006177596
0.6500000000000001,20,0.7635644,0.6784878,0.7306753,0.9983668,0.9078408,0.0062119085
0.25,75,0.7618294,0.68010604,0.7602003,0.9973988,0.8773979,0.0061003533
0.45,50,0.76168996,0.6791627,0.7439926,0.99794203,0.8990558,0.006133954
0.7000000000000001,20,0.76046276,0.67461777,0.72327685,0.9984782,0.91168815,0.006302117
0.6500000000000001,30,0.76001173,0.6757924,0.7273053,0.99838114,0.9147405,0.0062430585
0.7500000000000001,0,0.7599163,0.67263603,0.71775067,0.9985933,0.91531926,0.006363785
0.7500000000000001,5,0.7598681,0.67256814,0.7176426,0.9985937,0.91534674,0.0063663935
0.3,75,0.7594355,0.6778864,0.75237215,0.9975928,0.88641214,0.006124783
0.7500000000000001,10,0.7591877,0.67212206,0.7171294,0.9985962,0.91540456,0.006372877
0.5,50,0.75867474,0.67642015,0.7373572,0.9980646,0.9036025,0.006174196
0.1,100,0.7584415,0.6761589,0.77691585,0.99668723,0.8539087,0.006269544
0.35000000000000003,75,0.7575289,0.67567223,0.7451886,0.99773616,0.8907338,0.0061629694
0.15000000000000002,100,0.756601,0.67487156,0.76514494,0.9970134,0.8669603,0.006214201
0.7000000000000001,30,0.7562969,0.671473,0.7194846,0.9984899,0.91812104,0.0063304207
0.55,50,0.75628173,0.6737933,0.7303791,0.99818623,0.90759134,0.0062126988
0.8,0,0.7554639,0.6678312,0.709004,0.99871165,0.92086893,0.0064776326
0.8,5,0.75544107,0.6678138,0.70894593,0.99871254,0.9209217,0.0064785816
0.6000000000000001,50,0.7542672,0.6711957,0.72429484,0.99830747,0.91145,0.0062598987
0.7500000000000001,20,0.7541879,0.6688242,0.71340066,0.9986027,0.9223858,0.0063967532
0.2,100,0.75409,0.67267376,0.7547065,0.99725205,0.8725688,0.0061886646
0.4,75,0.7540528,0.6719721,0.736858,0.9978731,0.8939555,0.006198389
0.45,75,0.7533578,0.6710453,0.73232484,0.99799335,0.8986821,0.006223372
0.8,10,0.7526964,0.66615397,0.70720273,0.9987153,0.9246208,0.0064892545
0.7500000000000001,30,0.7518502,0.6664771,0.71073484,0.9986103,0.92271984,0.0064396043
0.6500000000000001,50,0.7515031,0.6680341,0.7178661,0.9984129,0.91505957,0.006331686
0.8,20,0.75095904,0.664816,0.70557576,0.9987203,0.9275116,0.00651155
0.8500000000000001,0,0.75008917,0.6617992,0.69873947,0.99884033,0.9303477,0.0066287974
0.25,100,0.7497674,0.6690139,0.7449312,0.9974642,0.87974733,0.006190957
0.8500000000000001,5,0.74946064,0.66141135,0.69832504,0.998841,0.93035114,0.0066340948
0.8500000000000001,10,0.7485274,0.6608047,0.69768924,0.99884224,0.9303455,0.006639945
0.8,30,0.74815375,0.6618857,0.70225793,0.9987276,0.92763937,0.006553294
0.5,75,0.7468214,0.6656456,0.72305423,0.9981128,0.9038231,0.006279822
0.8500000000000001,20,0.74639213,0.65928465,0.69595265,0.99884695,0.9329932,0.006659157
