epoch,lr,train_loss,train_dice,train_iou,train_sensitivity,train_specificity,train_precision,train_mae,val_loss,val_dice,val_iou,val_sensitivity,val_specificity,val_precision,val_mae
1,0.0003,0.17235405496302456,0.150382640238836,0.0837066502630358,0.8377776279616258,0.8844062894460105,0.08539106733924537,0.11619560806839555,0.5167357713729143,0.3200134253074672,0.2235637785893656,0.8440810537376682,0.9373732376098632,0.23758352065753147,0.06269073486328125
2,0.0003,0.02551346676953045,0.17367309722819446,0.09757935774987832,0.8875026769108243,0.9172792807528021,0.09920936809572939,0.08311093491291313,0.52941296890378,0.2976474420154385,0.2039788790534634,0.7853080737629214,0.935453314781189,0.23846234393016885,0.067728271484375
3,0.0003,0.014985786060085942,0.17911009794223762,0.10092951554312551,0.9004800248538516,0.9204930304990384,0.10256835870653651,0.07986184893321599,0.524217320382595,0.3162647455390392,0.22182127854273082,0.8684851013263688,0.929902982711792,0.23674940472653494,0.07034156799316406
4,0.0003,0.012420839482512125,0.18387332193384814,0.10441917027998332,0.8978985153107977,0.921027705012035,0.10615823755937594,0.07926020995089056,0.5244986300170421,0.315549528536958,0.22062129716608983,0.8620663094558993,0.9319390368461609,0.2818932351826108,0.06879356384277344
5,0.0003,0.008773291622453327,0.18621522655764233,0.10570755295662417,0.9029769330848882,0.9222796677071371,0.10729866603642334,0.07795731030373906,0.5112913425266743,0.32599403414373335,0.23020194346165337,0.876402966696769,0.9352882623672485,0.251066980902907,0.0647418212890625
6,0.0003,0.007707184703288592,0.19005782969694568,0.1076847882788061,0.9080940308394255,0.9239035704989492,0.10918353534391756,0.07628243057816117,0.5414314991235734,0.31806162686648043,0.22359067362595542,0.8533102059402744,0.9319922709465027,0.2865432763792539,0.06884231567382812
7,0.0003,0.006630159370982522,0.1884859472114608,0.10725616067341326,0.9131633322915913,0.9245902714415343,0.10883913260459165,0.07559720577035912,0.5201552152633667,0.3313421230292222,0.23576930253946174,0.8786507631838322,0.9355442523956299,0.25740256365568326,0.06523414611816407
8,0.0003,0.00523610428524675,0.18966294873367856,0.10792986279039225,0.9141208323431603,0.9250077060711237,0.10953131008801269,0.07516303670749742,0.5408222761750221,0.3187571297713497,0.22459804932814437,0.8319936466255465,0.9350351977348328,0.29277043235331573,0.06649566650390625
9,0.0003,0.010339445636440988,0.1918818362501791,0.10944245152037453,0.9018854011969312,0.9266656413980963,0.11127808206396583,0.07365807584283773,0.48872139051556585,0.345822917058832,0.24795828168280515,0.7919579649009982,0.9510997486114502,0.3341415923888564,0.052746124267578125
10,0.0003,0.005663596891914016,0.19630461221430529,0.11208982681357321,0.9125826010488188,0.9250032038355069,0.11370525903493901,0.07514902593667615,0.51649041980505,0.3399150562365901,0.24353843130500874,0.859919085506467,0.9403149461746216,0.267030937550446,0.061059494018554684
11,0.0003,0.006450450844552996,0.19320846136294706,0.1100610949390667,0.9179628463193713,0.9262044459213445,0.1117136887708092,0.07398544123143326,0.5505370956659317,0.3291023391983807,0.23319552948678474,0.8452660751381198,0.9383738136291504,0.2587239013807399,0.06336944580078124
12,0.0003,0.006887440217099318,0.20164785725775097,0.11557279989400783,0.9089816505771605,0.9295637820973809,0.11739226129413406,0.07070189738960424,0.5433553193509578,0.3298494753950642,0.23437144829299247,0.8463142156639377,0.9388876366615295,0.30359351186967787,0.06300949096679688
13,0.0003,0.00550134777888625,0.19784202367654352,0.11253482885586548,0.9128608098981802,0.9278041335290351,0.11411786345393858,0.07238381782186375,0.5563611987233162,0.3241483718865489,0.2287750275431604,0.8585409426727573,0.934739797115326,0.29324779307070886,0.06628250122070313
14,0.00015,0.003930038520050669,0.19641555049322515,0.11191832997794014,0.9174199670921137,0.9277026822537552,0.11350492531349385,0.07243889545707545,0.564459807574749,0.3257263443163963,0.2298308198944567,0.8657432270088473,0.9356593561172485,0.293162186202373,0.06535697937011718
15,0.00015,0.0037124574105010977,0.20025184529799003,0.11440635795241276,0.9224590546309702,0.9284550768357737,0.11597030672700807,0.07165211022145464,0.5546681612730027,0.32722105755574205,0.23196198504987312,0.8583750367203037,0.9357906246185302,0.29690013602560916,0.06537559509277344
16,0.00015,0.004201642167718541,0.1949737009828077,0.1108142442125538,0.9228346019124789,0.9263892730567681,0.1123913001163723,0.0737274311206959,0.5734715762734414,0.3286845976240589,0.23315459261514537,0.860846979621915,0.9366463279724121,0.29669579010870056,0.06452316284179688
17,0.00015,0.003125818508318836,0.1982395420686453,0.11304992182111298,0.9235852314120948,0.9277465031961355,0.1145648853968323,0.07232136196560329,0.556355639398098,0.33324939161721145,0.2371372803761204,0.8745721501484514,0.9364730501174927,0.2613414016360929,0.06439254760742187
18,0.00015,0.0031745935501717604,0.19705169009611992,0.11235694510195358,0.9219018071276661,0.9277029488802937,0.11384938525633863,0.07238302505555957,0.5864256420731544,0.32465967906039417,0.22969979320751713,0.8740357542076389,0.9333445692062378,0.29072972002153885,0.06737281799316407
19,7.5e-05,0.00333417947683148,0.19464188458497633,0.11139421179170103,0.9230108670737027,0.926411475419017,0.11291121471090694,0.07367174909929189,0.5780640530586243,0.32254672205872637,0.2271219867943394,0.8549688935318271,0.9357355856895446,0.2927321708546319,0.065662841796875
