threshold,min_area,dice,iou,sensitivity,specificity,precision,mae
0.1,5,0.76704496,0.67501533,0.7595316,0.99767363,0.8634276,0.0067494446
0.15000000000000002,0,0.76566505,0.67367184,0.7536749,0.9978121,0.8625188,0.0067624105
0.20000000000000004,0,0.7644326,0.67234105,0.74915075,0.99791324,0.8659839,0.0067862873
0.15000000000000002,5,0.76428884,0.6726336,0.7524429,0.99781394,0.8673329,0.006765257
0.1,10,0.76365864,0.6726258,0.75680643,0.9976782,0.8632013,0.0067635174
0.20000000000000004,5,0.7632456,0.671447,0.7481185,0.9979144,0.8712211,0.006791031
0.25000000000000006,0,0.763037,0.67099,0.74496293,0.9979975,0.8691741,0.0068076337
0.15000000000000002,10,0.7625636,0.6714288,0.75108045,0.99781775,0.8675891,0.006777037
0.30000000000000004,0,0.7624844,0.6702537,0.74182975,0.99806696,0.8721739,0.0068311146
0.1,0,0.7622687,0.6702095,0.75997275,0.9976718,0.8530462,0.0067477846
0.20000000000000004,10,0.7619557,0.6704566,0.7469395,0.9979188,0.87125295,0.0068021785
0.1,20,0.7618311,0.67117107,0.7547819,0.99769855,0.86352587,0.006782492
0.3500000000000001,0,0.7616519,0.66926616,0.73879576,0.99812704,0.87464404,0.0068553863
0.25000000000000006,5,0.7614778,0.67002094,0.7438998,0.99799895,0.8742947,0.0068112705
0.25000000000000006,10,0.7611661,0.6695923,0.74332994,0.99800307,0.8743052,0.006822339
0.15000000000000002,20,0.760972,0.6701118,0.74923503,0.9978383,0.8679521,0.0067927702
0.30000000000000004,5,0.7608701,0.6692347,0.7407113,0.9980687,0.8772661,0.006835779
0.20000000000000004,20,0.7606065,0.6694151,0.74536633,0.99793804,0.87169474,0.0068151443
0.40000000000000013,0,0.7604543,0.66798925,0.7356501,0.9981805,0.87657005,0.006884244
0.30000000000000004,10,0.7601717,0.66861165,0.7399839,0.9980724,0.87730473,0.006847401
0.3500000000000001,5,0.76007545,0.6682728,0.7377285,0.99812907,0.8797426,0.00685934
0.25000000000000006,20,0.7599016,0.66857255,0.7416858,0.9980212,0.8748022,0.006835463
0.45000000000000007,0,0.7595402,0.66699755,0.73273546,0.9982357,0.87878054,0.006903851
0.3500000000000001,10,0.7595131,0.66778344,0.73707455,0.9981345,0.8798789,0.0068679573
0.40000000000000013,5,0.7591397,0.66717863,0.73478633,0.99818206,0.8816503,0.00688796
0.5000000000000001,0,0.7584056,0.6657581,0.72964525,0.99828976,0.88069004,0.0069289925
0.45000000000000007,5,0.7583138,0.66623753,0.7318987,0.99823725,0.8838877,0.0069082784
0.40000000000000013,10,0.75818646,0.6664084,0.73384386,0.9981878,0.88174,0.006898712
0.5000000000000001,5,0.7575014,0.6651924,0.7290419,0.998291,0.8858917,0.006933657
0.45000000000000007,10,0.75748235,0.6655898,0.7311414,0.9982421,0.8839486,0.006916659
0.30000000000000004,20,0.7572716,0.6665257,0.7373477,0.9980883,0.8776238,0.006860209
0.5500000000000002,0,0.75678015,0.6643013,0.7264186,0.998338,0.88777286,0.0069547663
0.5000000000000001,10,0.7567035,0.66459584,0.7283509,0.9982953,0.8859499,0.006941405
0.3500000000000001,20,0.7566713,0.66573495,0.73457295,0.99814904,0.8800971,0.00688203
0.5500000000000002,5,0.756104,0.6638359,0.7259131,0.99833906,0.887777,0.0069599845
0.40000000000000013,20,0.7559159,0.66483223,0.73175335,0.9982016,0.88212144,0.0069097807
0.5500000000000002,10,0.7556976,0.6635268,0.7254733,0.9983434,0.8879249,0.00696623
0.1,30,0.7555104,0.6667582,0.7493845,0.9977155,0.86731386,0.006809136
0.6000000000000002,0,0.755433,0.66288877,0.7233618,0.9983867,0.8896741,0.0069856793
0.6000000000000002,5,0.7551916,0.66265357,0.72308755,0.99838793,0.8896676,0.0069897906
0.15000000000000002,30,0.7550836,0.6661862,0.7441258,0.9978625,0.87203884,0.0068149865
0.6000000000000002,10,0.75474495,0.6622978,0.7226046,0.9983921,0.8897797,0.0069954037
0.45000000000000007,20,0.754669,0.66364884,0.7286459,0.998258,0.8841804,0.006930811
0.20000000000000004,30,0.75457466,0.66536134,0.74032116,0.9979599,0.87542176,0.0068408395
0.6500000000000001,0,0.75438476,0.66141295,0.7200834,0.9984398,0.8918787,0.007019122
0.6500000000000001,5,0.75412697,0.66116023,0.71979123,0.99844116,0.8918712,0.0070233913
0.25000000000000006,30,0.7539867,0.6645485,0.7367551,0.99804485,0.8786728,0.0068699336
0.5000000000000001,20,0.7537984,0.6625931,0.72581536,0.9983103,0.8863685,0.0069562686
0.6500000000000001,10,0.75371426,0.6608554,0.7193575,0.9984456,0.89200175,0.007027265
0.30000000000000004,30,0.75370854,0.6639896,0.73391247,0.9981128,0.8815276,0.006894601
0.7000000000000002,0,0.7528805,0.65965265,0.7164272,0.9984899,0.8940291,0.007063554
0.7000000000000002,5,0.75262666,0.6593976,0.7160984,0.9984912,0.89405215,0.0070677446
0.7000000000000002,10,0.7522855,0.6591584,0.71575356,0.99849576,0.8941893,0.0070716185
0.5500000000000002,20,0.75149494,0.6607829,0.7221055,0.9983578,0.89090836,0.0069797495
0.7500000000000002,0,0.75124997,0.6577542,0.7125794,0.99854743,0.89643955,0.007112177
0.7500000000000002,5,0.7508956,0.6574634,0.7122227,0.9985488,0.89646065,0.007115814
0.7500000000000002,10,0.7508137,0.6573336,0.71200174,0.9985523,0.8965739,0.007121427
0.3500000000000001,30,0.7504466,0.66143167,0.72923005,0.9981726,0.8837113,0.006920533
0.6000000000000002,20,0.75011086,0.65937567,0.719061,0.99840647,0.89331394,0.007011611
0.8000000000000002,0,0.74922425,0.65547067,0.7079789,0.99861455,0.8990096,0.0071673617
0.40000000000000013,30,0.7491191,0.6600536,0.72612816,0.99822366,0.8853695,0.006954371
0.8000000000000002,5,0.74895483,0.6552643,0.707733,0.99861604,0.8990292,0.007170287
0.8000000000000002,10,0.74875146,0.6550552,0.70743763,0.9986194,0.8990909,0.0071750307
0.1,50,0.74871254,0.6611704,0.7418424,0.99776673,0.8691199,0.0068826624
0.45000000000000007,30,0.7484398,0.65910864,0.72333515,0.99827677,0.8873104,0.0069820425
0.6500000000000001,20,0.74780005,0.65721667,0.7150724,0.99846077,0.8957796,0.0070443423
0.5000000000000001,30,0.74770385,0.6581176,0.720616,0.99832755,0.8891677,0.007007421
0.15000000000000002,50,0.74721366,0.6599938,0.7363236,0.9979035,0.8754948,0.0068955496
0.8500000000000002,0,0.74704486,0.6529238,0.7024829,0.9986979,0.9029051,0.0072370144
0.20000000000000004,50,0.746971,0.6594284,0.7328988,0.9979991,0.8787663,0.0069173705
0.8500000000000002,5,0.74682575,0.6527369,0.702271,0.9986989,0.90291655,0.007240572
0.5500000000000002,30,0.74662584,0.6570296,0.71781534,0.99837416,0.891221,0.007030981
0.25000000000000006,50,0.7465682,0.6588386,0.7298025,0.9980767,0.88149154,0.006941642
0.7000000000000002,20,0.7462993,0.65550596,0.711498,0.99851066,0.8976077,0.007087747
0.6000000000000002,30,0.74561584,0.655774,0.71488816,0.9984215,0.89279705,0.0070614987
0.8500000000000002,10,0.74512714,0.6517389,0.70119166,0.9987026,0.90299934,0.0072463434
0.7500000000000002,20,0.7450334,0.6537717,0.70786756,0.9985669,0.89969873,0.007140639
0.6500000000000001,30,0.7442051,0.6541368,0.71150345,0.9984743,0.89583373,0.0070998436
0.9000000000000002,0,0.74398786,0.64924264,0.694868,0.99880207,0.90754724,0.0073459605
0.9000000000000002,5,0.7436945,0.64905095,0.6946585,0.9988031,0.90756834,0.0073485696
0.7000000000000002,30,0.74330986,0.65280014,0.7083946,0.9985218,0.8980141,0.0071438015
0.8000000000000002,20,0.7430552,0.6515009,0.70333016,0.99863297,0.9022631,0.007199223
0.30000000000000004,50,0.7424786,0.6554559,0.7238931,0.9981476,0.88927454,0.006967179
0.7500000000000002,30,0.74226385,0.65132666,0.70506334,0.99857724,0.9001245,0.007189736
0.3500000000000001,50,0.74219096,0.6548554,0.7214941,0.99820405,0.8915144,0.0069913715
0.9000000000000002,10,0.74187744,0.647964,0.69343877,0.99880767,0.90744036,0.0073536295
0.8500000000000002,20,0.74139047,0.6492425,0.69821465,0.9987143,0.90590054,0.007270378
0.40000000000000013,50,0.7404815,0.6534335,0.7179244,0.9982588,0.89528203,0.0070192013
0.1,75,0.74020576,0.65439844,0.73100257,0.997866,0.880703,0.0069605378
0.45000000000000007,50,0.73995626,0.6526417,0.7153201,0.9983136,0.89722943,0.0070482953
0.8000000000000002,30,0.73993886,0.64886355,0.70035297,0.998642,0.9039796,0.007243181
0.15000000000000002,75,0.73972064,0.65358156,0.726134,0.99799633,0.8847012,0.0069780895
0.9000000000000002,20,0.73870397,0.6457023,0.69073343,0.9988182,0.91012484,0.007382961
0.5000000000000001,50,0.7386044,0.6510855,0.71191233,0.9983678,0.8989813,0.007083478
0.8500000000000002,30,0.7382822,0.64656085,0.6951773,0.9987235,0.9074533,0.007316866
0.20000000000000004,75,0.73738456,0.6515402,0.72079486,0.99809486,0.8905913,0.0070003057
0.25000000000000006,75,0.7364933,0.6502557,0.71697634,0.99817336,0.8935092,0.0070427614
0.5500000000000002,50,0.7364785,0.6493169,0.70824015,0.99841917,0.90300345,0.007104508
0.6000000000000002,50,0.7360467,0.64852303,0.70597965,0.9984641,0.9048711,0.0071347095
0.30000000000000004,75,0.7357861,0.64910036,0.7135032,0.99823636,0.89569896,0.0070744646
0.9000000000000002,30,0.73537135,0.6430976,0.68786496,0.9988283,0.9187034,0.007421543
0.3500000000000001,75,0.7352449,0.6481426,0.7105161,0.9982939,0.89813805,0.007106089
0.40000000000000013,75,0.7346797,0.6472517,0.7080732,0.9983416,0.89987105,0.0071415086
0.6500000000000001,50,0.7346318,0.64675665,0.70214576,0.99852127,0.90707636,0.007172817
0.7000000000000002,50,0.7341142,0.6457429,0.69930094,0.9985708,0.9097338,0.0072115567
0.45000000000000007,75,0.7333837,0.64586765,0.704733,0.99839425,0.9016845,0.0071729748
0.7500000000000002,50,0.73317313,0.64433604,0.696028,0.99862915,0.91187775,0.00725678
0.5000000000000001,75,0.7328026,0.64494884,0.7021538,0.99844426,0.9034908,0.0072023068
