case_id,slice_idx,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
coronacases_003,42,1.2987012970146736e-09,1.2987012970146736e-09,1.2987012970146736e-09,1.0,1.0,0.9988250732421893,1.5276738110855226e-12,1.0,0.0011749268
coronacases_003,43,1.3333333315555557e-09,1.3333333315555557e-09,1.3333333315555557e-09,1.0,1.0,0.9988555908203143,1.5276271367661238e-12,1.0,0.0011444092
coronacases_003,44,9.90099008920694e-10,9.90099008920694e-10,9.90099008920694e-10,1.0,1.0,0.9984588623046898,1.5282341254656861e-12,1.0,0.0015411377
coronacases_003,45,1.3157894719529087e-09,1.3157894719529087e-09,1.3157894719529087e-09,1.0,1.0,0.9988403320312518,1.527650473569313e-12,1.0,0.001159668
coronacases_003,46,0.10370370436762688,0.054687500738525394,0.054687500738525394,1.0,1.0,0.9981536865234403,1.528864970643455e-12,0.9453125000427246,0.0018463135
coronacases_003,47,0.2298850579138592,0.12987013043514928,0.13986014046163628,0.9998317862768189,0.6451612914672217,0.9979553222656281,0.00016821372471033868,0.8601398602376644,0.0020446777
coronacases_003,48,0.28440367005302586,0.16577540151562814,0.17032967078553315,0.9999234935887629,0.8611111114969136,0.9976196289062537,7.650641276727285e-05,0.8296703297639174,0.002380371
coronacases_003,49,0.6500000000875,0.48148148167352534,0.5019305021228067,0.9998314873538922,0.9219858156581661,0.9978637695312532,0.00016851264763979883,0.49806949826329355,0.0021362305
coronacases_003,50,0.6630434783219125,0.4959349594861964,0.5736677117323925,0.999233328733307,0.7854077254139881,0.9971618652343793,0.0007666712682264338,0.426332288581087,0.0028381348
coronacases_003,51,0.6931216931622854,0.5303643725647036,0.6533665836275894,0.9985721962078782,0.7380281690878794,0.9964599609375054,0.0014278037936571307,0.34663341662178715,0.003540039
coronacases_003,52,0.8163934426380005,0.6897506925637465,0.7355982275132057,0.9993061872677665,0.9171270718384665,0.9965820312500052,0.0006938127337752759,0.26440177263450493,0.0034179688
coronacases_003,53,0.8198924731303836,0.6947608200803234,0.7911802853707938,0.998347873079598,0.850767085097522,0.9959106445312562,0.0016521269219460322,0.20881971475890795,0.0040893555
coronacases_003,54,0.8610653487171298,0.7560270009878469,0.8430107527050525,0.9983438070767446,0.8799102132570247,0.9961395263671934,0.0016561929248031819,0.15698924740247427,0.0038604736
coronacases_003,55,0.886877828059986,0.7967479674980353,0.9216300940520763,0.9976772635067163,0.8546511628047818,0.9965667724609427,0.002322736494832186,0.07836990605241693,0.0034332275
coronacases_003,56,0.8796296296346957,0.7851239669582927,0.8407079646145851,0.9986312662342733,0.9223300970942339,0.9956359863281317,0.0013687337672820233,0.15929203546586546,0.0043640137
coronacases_003,57,0.8837550421751464,0.7917214191989671,0.8503881439766839,0.9983624198755464,0.9198473282503934,0.9951629638671948,0.0016375801260131355,0.14961185609388764,0.004837036
coronacases_003,58,0.9109298531839827,0.8364289994106394,0.9006451612967326,0.9981402181727282,0.9214521452197061,0.9958343505859438,0.0018597818288346515,0.09935483876778355,0.0041656494
