Dice Index (DI),Jaccard Index (JA),Sensitivity (SE),Specificity (SP),Precision,Accuracy,MAE,TP,TN,FP,FN,HD95,ASSD,threshold,row_index,image_path,gt_path,lung_path,gt_area,pred_area,prob_max,prob_mean
0.0,0.0,0.0,0.9999999999998475,0.0,0.9999999999998475,0.0,0,65536,0,0,0.0,0.0,0.035,16,data/processed/images/coronacases_001_slice_0071.npy,data/processed/infection_masks/coronacases_001_slice_0071.npy,data/processed/lung_masks/coronacases_001_slice_0071.npy,0,0,0.00424414686858654,1.1770569471991621e-05
0.0,0.0,0.0,0.9999999999998475,0.0,0.9999999999998475,0.0,0,65536,0,0,0.0,0.0,0.035,17,data/processed/images/coronacases_001_slice_0072.npy,data/processed/infection_masks/coronacases_001_slice_0072.npy,data/processed/lung_masks/coronacases_001_slice_0072.npy,0,0,0.002486361190676689,7.546065262431512e-06
0.0,0.0,0.0,0.9999999999998475,0.0,0.9999999999998475,0.0,0,65536,0,0,0.0,0.0,0.035,18,data/processed/images/coronacases_001_slice_0073.npy,data/processed/infection_masks/coronacases_001_slice_0073.npy,data/processed/lung_masks/coronacases_001_slice_0073.npy,0,0,0.0036986388731747866,1.1802099834312685e-05
0.0,0.0,0.0,0.9999999999998475,0.0,0.9999999999998475,0.0,0,65536,0,0,0.0,0.0,0.035,19,data/processed/images/coronacases_001_slice_0074.npy,data/processed/infection_masks/coronacases_001_slice_0074.npy,data/processed/lung_masks/coronacases_001_slice_0074.npy,0,0,0.006463823840022087,1.1077599083364476e-05
0.0,0.0,0.0,0.9999999999998475,0.0,0.9999999999998475,0.0,0,65536,0,0,0.0,0.0,0.035,20,data/processed/images/coronacases_001_slice_0075.npy,data/processed/infection_masks/coronacases_001_slice_0075.npy,data/processed/lung_masks/coronacases_001_slice_0075.npy,0,0,0.034239210188388824,9.917746865539812e-06
0.0,0.0,0.0,0.9999999999998475,0.0,0.9999999999998475,0.0,0,65536,0,0,0.0,0.0,0.035,21,data/processed/images/coronacases_001_slice_0076.npy,data/processed/infection_masks/coronacases_001_slice_0076.npy,data/processed/lung_masks/coronacases_001_slice_0076.npy,0,0,0.0021460428833961487,8.227398211602122e-06
0.0,0.0,0.0,0.9999999999998475,0.0,0.9999999999998475,0.0,0,65536,0,0,0.0,0.0,0.035,22,data/processed/images/coronacases_001_slice_0077.npy,data/processed/infection_masks/coronacases_001_slice_0077.npy,data/processed/lung_masks/coronacases_001_slice_0077.npy,0,0,0.001163218286819756,4.155645001446828e-06
0.0,0.0,0.0,0.9999999999998475,0.0,0.9999084472654725,9.1552734e-05,0,65530,0,6,,,0.035,23,data/processed/images/coronacases_001_slice_0078.npy,data/processed/infection_masks/coronacases_001_slice_0078.npy,data/processed/lung_masks/coronacases_001_slice_0078.npy,6,0,0.0012351830955594778,5.781858817499597e-06
0.5454545452066115,0.374999999765625,0.374999999765625,0.9999999999998475,0.9999999983333333,0.9998474121092225,0.00015258789,6,65520,0,10,2.0590169943749475,0.9156425962420554,0.035,24,data/processed/images/coronacases_001_slice_0079.npy,data/processed/infection_masks/coronacases_001_slice_0079.npy,data/processed/lung_masks/coronacases_001_slice_0079.npy,16,6,0.1217837929725647,1.1394330613256898e-05
0.5555555554012346,0.38461538446745563,0.9999999989999999,0.9997558221162592,0.38461538446745563,0.9997558593748475,0.00024414062,10,65510,16,0,2.2124611797498104,1.0745555061790812,0.035,25,data/processed/images/coronacases_001_slice_0080.npy,data/processed/infection_masks/coronacases_001_slice_0080.npy,data/processed/lung_masks/coronacases_001_slice_0080.npy,10,26,0.7854283452033997,0.00014038705558050424
0.765957446645541,0.6206896549583829,0.9473684205540166,0.9998473678585711,0.642857142627551,0.99983215332016,0.00016784668,18,65507,10,1,1.0,0.7037037037037037,0.035,26,data/processed/images/coronacases_001_slice_0081.npy,data/processed/infection_masks/coronacases_001_slice_0081.npy,data/processed/lung_masks/coronacases_001_slice_0081.npy,19,28,0.9913501143455505,0.00023623167362529784
0.7575757574609734,0.6097560974122546,0.9999999996,0.9997557662070493,0.6097560974122546,0.9997558593748475,0.00024414062,25,65495,16,0,1.7071067811865475,0.7575897217496312,0.035,27,data/processed/images/coronacases_001_slice_0082.npy,data/processed/infection_masks/coronacases_001_slice_0082.npy,data/processed/lung_masks/coronacases_001_slice_0082.npy,25,41,0.9988172054290771,0.00036020128754898906
0.679999999864,0.5151515149954086,0.894736841634349,0.9997863150020606,0.5483870965972945,0.9997558593748475,0.00024414062,17,65503,14,2,1.4142135623730951,0.8387600490799488,0.035,28,data/processed/images/coronacases_001_slice_0083.npy,data/processed/infection_masks/coronacases_001_slice_0083.npy,data/processed/lung_masks/coronacases_001_slice_0083.npy,19,31,0.9879067540168762,0.0002420377277303487
0.5454545453305785,0.3749999998828125,0.3749999998828125,0.9999999999998473,0.9999999991666666,0.9996948242185975,0.00030517578,12,65504,0,20,2.188854381999831,1.2451596081796783,0.035,29,data/processed/images/coronacases_001_slice_0084.npy,data/processed/infection_masks/coronacases_001_slice_0084.npy,data/processed/lung_masks/coronacases_001_slice_0084.npy,32,12,0.3402230143547058,3.498354271869175e-05
0.3121387283056567,0.18493150683664852,0.18881118879798522,0.9999541235298885,0.8999999997,0.9981842041014102,0.0018157959,27,65390,3,116,18.09931503635786,6.292784405992879,0.035,30,data/processed/images/coronacases_001_slice_0085.npy,data/processed/infection_masks/coronacases_001_slice_0085.npy,data/processed/lung_masks/coronacases_001_slice_0085.npy,143,30,0.753063976764679,0.00015433943190146238
0.47619047616528093,0.3124999999782986,0.33088235291684687,0.9998776758408258,0.8490566036133855,0.9984893798826602,0.0015106201,45,65392,8,91,7.137216658103184,1.9917431076409036,0.035,31,data/processed/images/coronacases_001_slice_0086.npy,data/processed/infection_masks/coronacases_001_slice_0086.npy,data/processed/lung_masks/coronacases_001_slice_0086.npy,136,53,0.7509839534759521,0.0002460043178871274
0.2405063291088501,0.13669064747873644,0.13669064747873644,0.9999999999998465,0.9999999998245613,0.9945068359373483,0.005493164,57,65119,0,360,23.835549610561877,7.5192549216654205,0.035,32,data/processed/images/coronacases_001_slice_0087.npy,data/processed/infection_masks/coronacases_001_slice_0087.npy,data/processed/lung_masks/coronacases_001_slice_0087.npy,417,57,0.999405026435852,0.0003878582501783967
0.37020316026252365,0.22714681439813997,0.2309859154864511,0.9999079486351852,0.9318181817122935,0.9957427978514106,0.004257202,82,65175,6,273,6.4031242374328485,2.515200633311297,0.035,33,data/processed/images/coronacases_001_slice_0088.npy,data/processed/infection_masks/coronacases_001_slice_0088.npy,data/processed/lung_masks/coronacases_001_slice_0088.npy,355,88,0.9998611211776733,0.0006544794887304306
0.7136812411747012,0.5548245613913415,0.5647321428445372,0.9998770894787058,0.9693486589666916,0.9969024658201604,0.0030975342,253,65080,8,195,5.830951894845301,1.8318846120326138,0.035,34,data/processed/images/coronacases_001_slice_0089.npy,data/processed/infection_masks/coronacases_001_slice_0089.npy,data/processed/lung_masks/coronacases_001_slice_0089.npy,448,261,0.9999319314956665,0.0020363591611385345
0.7118226600897559,0.5525812619397212,0.5633528264997397,0.9998462082646141,0.9665551839141621,0.996429443359223,0.0035705566,289,65013,10,224,5.0,1.7739714460147704,0.035,35,data/processed/images/coronacases_001_slice_0090.npy,data/processed/infection_masks/coronacases_001_slice_0090.npy,data/processed/lung_masks/coronacases_001_slice_0090.npy,513,299,0.9999334812164307,0.0027604561764746904
0.59502487561597,0.42351274786935533,0.42471590908487616,0.999969151036371,0.9933554816945729,0.993789672851411,0.006210327,299,64830,2,405,43.015112351698,5.068918073154047,0.035,36,data/processed/images/coronacases_001_slice_0091.npy,data/processed/infection_masks/coronacases_001_slice_0091.npy,data/processed/lung_masks/coronacases_001_slice_0091.npy,704,301,0.999277651309967,0.0021727613639086485
0.4446620959799739,0.2858942065455177,0.2866161616125427,0.999969109106481,0.9912663755025648,0.9913482666014113,0.008651733,227,64742,2,565,10.990354736603607,3.768829711270775,0.035,37,data/processed/images/coronacases_001_slice_0092.npy,data/processed/infection_masks/coronacases_001_slice_0092.npy,data/processed/lung_masks/coronacases_001_slice_0092.npy,792,229,0.9989733099937439,0.0014607349876314402
0.7716666666602362,0.6282225237363878,0.6368638239252151,0.9998457004426855,0.9788583509306795,0.9958190917967231,0.004180908,463,64799,10,264,45.599999999999994,5.1481068256699185,0.035,38,data/processed/images/coronacases_001_slice_0093.npy,data/processed/infection_masks/coronacases_001_slice_0093.npy,data/processed/lung_masks/coronacases_001_slice_0093.npy,727,473,0.999981164932251,0.004524150397628546
0.8074534161427993,0.6770833333245171,0.6970509383284578,0.9996604414259918,0.9594095940782397,0.996215820312348,0.0037841797,520,64768,22,226,47.0,5.172328828211876,0.035,39,data/processed/images/coronacases_001_slice_0094.npy,data/processed/infection_masks/coronacases_001_slice_0094.npy,data/processed/lung_masks/coronacases_001_slice_0094.npy,746,542,0.9999997615814209,0.006007923278957605
0.8019323671433017,0.6693548387006807,0.7073863636263156,0.9993830207303493,0.9256505576036125,0.996246337890473,0.003753662,498,64792,40,206,49.39999999999998,6.29412196274209,0.035,40,data/processed/images/coronacases_001_slice_0095.npy,data/processed/infection_masks/coronacases_001_slice_0095.npy,data/processed/lung_masks/coronacases_001_slice_0095.npy,704,538,1.0,0.006176758091896772
0.7933634992398692,0.6574999999917812,0.6726342710911428,0.9997220248940607,0.9669117646881082,0.9958190917967231,0.004180908,526,64736,18,256,50.014496752088036,6.417755768923631,0.035,41,data/processed/images/coronacases_001_slice_0096.npy,data/processed/infection_masks/coronacases_001_slice_0096.npy,data/processed/lung_masks/coronacases_001_slice_0096.npy,782,544,1.0,0.006455285008996725
