epoch,lr,train_loss,train_dice,train_iou,train_sensitivity,train_specificity,train_precision,train_mae,val_loss,val_dice,val_iou,val_sensitivity,val_specificity,val_precision,val_mae
1,0.0005,0.8437613834769039,0.0850884871308936,0.05033170509765241,0.1676514071636744,0.9836601954698118,0.11236919110255564,0.02393063762893448,0.6967067432403564,0.5156648785724254,0.4224754742342203,0.7298844562256878,0.9757824308591709,0.44305956752697384,0.02596221923828125
2,0.0005,0.770514022495787,0.2767729345062532,0.17535083341405683,0.4458572770487292,0.9865061778909785,0.258553808881351,0.01905632737792481,0.5751416110992431,0.5214717593347793,0.42503770260983664,0.4855614886653776,0.9982412132345883,0.8440520953280805,0.011927871704101563
3,0.0005,0.7088060123098772,0.3084992168892385,0.19831143576977672,0.4469318372903544,0.9878734827642154,0.3184416971123976,0.01782020741263352,0.44025751888751985,0.5771549914763674,0.49331222864688407,0.6396099970593754,0.9950186014417594,0.7431884273133517,0.008824462890625
4,0.0005,0.6668528606325893,0.31197886310858425,0.20064709341364836,0.5354113934882995,0.9826578400799202,0.27560570452429145,0.02202530051081699,0.4758258128166199,0.5355446639361435,0.4481251200092283,0.4692687451296922,0.9992524550944174,0.8779986611707344,0.010362548828125
5,0.0005,0.6455567504389811,0.33510025718542374,0.21990904496446861,0.5770598309824233,0.9822586030493542,0.29137242739428376,0.021862978315622793,0.4683393305540085,0.5197003591118246,0.42463251821359954,0.5410571506160842,0.9946460289885688,0.6116206860827451,0.014667510986328125
6,0.0005,0.6291240654085989,0.31508741561976544,0.20236626223903745,0.6401283713420931,0.9781463858452988,0.2520673631182974,0.02528666911152123,0.40409873604774477,0.5624892162482386,0.4828556804783156,0.5973602491868638,0.9960334461777819,0.5825039376008463,0.008882293701171875
7,0.00025,0.6207878316863108,0.3008250069199868,0.18788869115066392,0.6373150886212559,0.9790240767584479,0.22907674637001407,0.024448175667285247,0.4111194711923599,0.5513561492542828,0.46931091370873873,0.5813217218777574,0.9969437479613648,0.5724994619513327,0.008825759887695312
8,0.00025,0.6107472454087209,0.35017106267503606,0.22599724106050595,0.6583109994685539,0.9841330226036916,0.2731480952303518,0.0193961084225757,0.4761721658706665,0.4962860457415964,0.40296185089575753,0.4734302350392695,0.9980348847769815,0.6472603002928268,0.012391357421875
9,0.00025,0.5999010658196811,0.380703294843453,0.2517863407605956,0.6789295957173287,0.9838020625577958,0.30061614218323585,0.019245963101669893,0.42326021552085874,0.5530533170936519,0.46413238084037134,0.5771210331550491,0.9964740547719448,0.6010979889882511,0.010620880126953124
10,0.00025,0.5927234556378618,0.43759688971837923,0.30074212386371446,0.6935191878267243,0.9874033611910151,0.3630972957060382,0.015584827142920197,0.4411051714420319,0.5187680664268081,0.43680062050343743,0.5428844913781716,0.9977549377877254,0.6293948122091871,0.009617691040039062
11,0.000125,0.5914693427624675,0.4236167934331488,0.2905570655791441,0.6727022373686313,0.9881160580350452,0.36236679310915565,0.015138022643698137,0.45261153399944304,0.5340457620812639,0.4277203663979678,0.5582052674318612,0.9968844792985123,0.6616748533196796,0.012627182006835937
