epoch,lr,train_loss,train_dice,train_iou,train_sensitivity,train_specificity,train_precision,train_mae,val_loss,val_dice,val_iou,val_sensitivity,val_specificity,val_precision,val_mae
1,0.0003,0.2020596677606059,0.027503617210150794,0.014081945402572628,0.6790756256062798,0.4690927712269771,0.014189659338779824,0.5286385257548265,0.14325379140675068,0.0814020783688417,0.04428085504579453,0.7306946594229228,0.5028470349311829,0.04454147867872475,0.48656990051269533
2,0.0003,0.09469971876330827,0.039531646492473496,0.020327432404374422,0.8119439145726431,0.591938336690267,0.020431230560862178,0.4057051262247219,0.08776783172041178,0.07866296773208384,0.042573577341531256,0.7355487026980407,0.5177914774417878,0.04313006287454706,0.4736390686035156
3,0.0003,0.0796125943278089,0.03619567909251147,0.018561843864106163,0.8274916310491875,0.5520538128452537,0.018654090939702873,0.4452427444144041,0.08007762405788527,0.06563480585303492,0.0350658171625329,0.6880267310103662,0.4335337686538696,0.03551228949988595,0.5559231567382813
4,0.0003,0.07252510915196082,0.03618449286041933,0.018567327280399216,0.825418846045502,0.5479596060980495,0.01865077851622993,0.44931466687363364,0.0801283111795783,0.0679375188208033,0.03641229554814716,0.6751676752658821,0.43815805435180666,0.03703358361188664,0.553336410522461
5,0.0003,0.06605213381534006,0.033495121953123604,0.017154983871946028,0.8432650174562333,0.4999697203498809,0.01722147277989444,0.49658428396217125,0.07073355566244573,0.0686228406951621,0.03678984942648714,0.6858224604798742,0.4645988917350769,0.037418481735795296,0.5269960021972656
6,0.00015,0.05779573005152705,0.03344052218987296,0.01711929297992584,0.8549813758811833,0.492821532144468,0.017180465764477237,0.5035430688426328,0.08912322664400563,0.05639252822859957,0.029842387384407212,0.6539754719286727,0.3684365200996399,0.03034556275014582,0.6212845611572265
7,0.00015,0.049506980226348335,0.033174361296787615,0.016975321672347072,0.8667391763057237,0.47863010884312446,0.017026346898829342,0.5174286532303924,0.060591927357017995,0.060478026112074826,0.032152101761573085,0.6969870201086885,0.36361656546592713,0.0325571552141326,0.6247957611083984
8,0.00015,0.046283155064569946,0.0331001603447007,0.01692480518609243,0.8722389315872036,0.47699436851980265,0.016978442230083147,0.5190435260411643,0.05701525917975232,0.05823038965882122,0.03087931916565256,0.7093096726348884,0.33945708513259887,0.031280873747419974,0.6485390472412109
9,0.00015,0.04758795055487948,0.032352292192084214,0.01654674131181302,0.8616374698563368,0.47253682363180466,0.0165998796072938,0.523555771313577,0.058574001729139125,0.05990124027517482,0.031840818767340136,0.6964136130323894,0.34606625080108644,0.03222069590567004,0.6418230438232422
10,0.00015,0.03979190307910795,0.032906951587800506,0.016834864889677812,0.8790519567428793,0.46265886705598713,0.016879892966004832,0.5330650502271613,0.06325657946232241,0.06790887551335635,0.03640084548079194,0.7090558319499977,0.41222947001457216,0.03684621372446436,0.5772583770751953
11,7.5e-05,0.049944364190783824,0.03295689386434455,0.01685639132289005,0.8735753080113925,0.4727179892514468,0.016909410733056022,0.5232633504357358,0.06551359918288653,0.06095608766318777,0.032426926657615825,0.6765267103126533,0.3846338129043579,0.03290719062567236,0.6048433685302734
12,7.5e-05,0.045426092848709666,0.032706857094571856,0.016732116932156708,0.8774218659832644,0.46036778175781784,0.01678717972872656,0.5354023607670034,0.06283361890702509,0.059304164991597276,0.03148072945547718,0.6959173389485366,0.36747007608413695,0.03191886594268689,0.6212424468994141
13,7.5e-05,0.03900233977819206,0.031525849266008404,0.01611510850537047,0.879116741564784,0.4395948549111684,0.016158178768938967,0.5559192547582305,0.055179286152124404,0.0576285864576879,0.030550304910977842,0.7017549409678466,0.33145481705665586,0.030940556558309594,0.6563207244873047
