threshold,min_area,dice,iou,sensitivity,specificity,precision,mae
0.6000000000000001,0,0.75163776,0.6575955,0.70738053,0.99866843,0.9057287,0.0073265117
0.6000000000000001,5,0.75131196,0.6573027,0.7070063,0.99866956,0.9055255,0.007331018
0.55,20,0.7510967,0.6588047,0.71127415,0.9985931,0.90279216,0.0072504547
0.6000000000000001,10,0.750514,0.65668774,0.7063166,0.9986723,0.9053928,0.007342798
0.25,75,0.7498226,0.66510946,0.7395562,0.9979754,0.8819847,0.0066296672
0.4,50,0.74882996,0.6626063,0.7283133,0.9982552,0.8902493,0.006783283
0.6500000000000001,0,0.7485634,0.65385973,0.70042735,0.9987527,0.90990263,0.0074428106
0.6000000000000001,20,0.7482641,0.6551818,0.70450145,0.9986795,0.905993,0.007362089
0.6500000000000001,5,0.7481965,0.6535829,0.7000974,0.99875385,0.90979916,0.0074470798
0.6500000000000001,10,0.7478244,0.6532649,0.69969517,0.99875623,0.90985614,0.007455618
0.45,50,0.74767435,0.6605378,0.72212195,0.9983717,0.89510113,0.006862423
0.05,100,0.7467849,0.6635822,0.76172256,0.9971689,0.8557252,0.006613064
0.3,75,0.7466641,0.66141784,0.7308541,0.99812293,0.88749605,0.006757272
0.1,100,0.74531716,0.66155624,0.7513285,0.99744743,0.8631637,0.006639708
0.55,30,0.7451083,0.6543296,0.70616287,0.9986064,0.90616065,0.0073079322
0.7000000000000001,0,0.74447775,0.64926726,0.6924532,0.99884194,0.9137765,0.007578084
0.7000000000000001,5,0.7441898,0.649068,0.69223386,0.998843,0.9137791,0.0075811674
0.6500000000000001,20,0.74374974,0.65055734,0.69672185,0.99876475,0.90964454,0.0074801273
0.7000000000000001,10,0.7434729,0.6485403,0.69166934,0.99884444,0.9137794,0.007588994
0.35000000000000003,75,0.74328065,0.65744215,0.7225424,0.99823827,0.89103186,0.0068447925
0.15000000000000002,100,0.74261016,0.6590557,0.742838,0.99763954,0.8693616,0.006666905
0.6000000000000001,30,0.7425385,0.65094525,0.6996444,0.9986943,0.90945125,0.007418143
0.5,50,0.7422373,0.65434206,0.7089499,0.9985342,0.9044455,0.007099527
0.4,75,0.74128,0.65495634,0.7167334,0.9983384,0.8943847,0.006913259
0.2,100,0.74109054,0.6571335,0.735323,0.99781984,0.8747652,0.0066969483
0.7000000000000001,20,0.7406643,0.64654154,0.6894384,0.99885154,0.91351706,0.007617298
0.6500000000000001,30,0.74001634,0.64741254,0.69293374,0.9987795,0.91323555,0.007530252
0.45,75,0.7381853,0.65071124,0.7083553,0.99844646,0.8986736,0.007019913
0.55,50,0.73736984,0.6478235,0.697719,0.9986532,0.91373134,0.0073808264
0.25,100,0.737157,0.6530168,0.7238871,0.99803454,0.88352877,0.0067828083
0.7000000000000001,30,0.7370223,0.6435282,0.68567306,0.99886847,0.9170779,0.00765675
0.3,100,0.7356366,0.6502612,0.71678305,0.9981724,0.8884211,0.0069088317
0.6000000000000001,50,0.7350644,0.64458454,0.6912029,0.9987463,0.9173289,0.007493963
0.35000000000000003,100,0.7342582,0.64819294,0.71119934,0.99827963,0.8921799,0.0069652814
0.7500000000000001,0,0.7335852,0.63600427,0.6746264,0.9989622,0.9183657,0.008053083
0.7500000000000001,5,0.73348856,0.6358766,0.67448497,0.9989629,0.91836935,0.008057352
0.6500000000000001,50,0.7321525,0.64087105,0.6845741,0.99882466,0.9207267,0.007606309
0.7500000000000001,10,0.7318609,0.6347792,0.673337,0.9989639,0.918282,0.008069212
0.4,100,0.7316624,0.64474857,0.70351446,0.9983854,0.895998,0.00704118
