epoch,lr,train_loss,train_dice_soft_target,val_loss,val_dice_soft_target
1,9.938441702975689e-05,0.8317225561059755,0.029802644419772872,0.8305674309913929,0.03017356927291705
2,9.755282581475769e-05,0.624406516963038,0.031902445441689985,0.9198334560944483,0.03001233906700061
3,9.45503262094184e-05,0.4908574975770095,0.03371409101347471,0.7528581940210782,0.0316934312084833
4,9.045084971874738e-05,0.3878365927729113,0.043915815169698204,0.6709634455350729,0.042577950785366386
5,8.535533905932738e-05,0.3187111028309526,0.06770947822209063,0.4373069073145206,0.05445851270969097
6,7.938926261462366e-05,0.2753507094650433,0.08842192102095177,0.2981506265126742,0.0714672921010508
7,7.269952498697734e-05,0.2509687918527373,0.10872780780853897,0.2950652797634785,0.09508218215062068
8,6.545084971874738e-05,0.23236103725844415,0.14409278343463766,0.23943737579079774,0.14261713674148688
9,5.782172325201156e-05,0.22192729043549506,0.19625029682085432,0.2306532237965327,0.28645566220466906
10,5.000000000000001e-05,0.2102492804157323,0.3058619702427552,0.21905960199924615,0.3916509233128566
11,4.217827674798848e-05,0.2028970110519179,0.39519174571695,0.22077241711891615,0.45836616622713894
12,3.454915028125264e-05,0.20197229549802584,0.5464210868395608,0.2106862818965545,0.5847774544874063
13,2.730047501302267e-05,0.1975397037021045,0.5927587307989597,0.20417844418149728,0.685297885336555
14,2.0610737385376356e-05,0.1920303232710937,0.6599269686587925,0.20176797073621017,0.7170593738555908
15,1.464466094067263e-05,0.18988440894875033,0.7183347265782027,0.20151057094335556,0.7425252411227959
16,9.549150281252635e-06,0.1874545934385267,0.7075350063628164,0.19823071618492788,0.7340767088417823
17,5.4496737905816115e-06,0.1856066483875801,0.7351346962410829,0.19791110175160262,0.7366918087578737
18,2.4471741852423237e-06,0.18471537155324014,0.7436995557669935,0.19776152102993086,0.7449592821873151
19,6.155829702431171e-07,0.1835786168174497,0.7535279496990401,0.1990760751068592,0.7520621567964554
20,0.0,0.18249961433225664,0.769649515686364,0.19648774398060945,0.7567529271428401
