epoch,lr,train_loss,train_dice,train_iou,train_sensitivity,train_specificity,train_precision,train_mae,val_loss,val_dice,val_iou,val_sensitivity,val_specificity,val_precision,val_mae
1,0.0003,0.07177109365186696,0.12185830081488515,0.06747353053572035,0.49131483484452143,0.9385181434851124,0.07380714936335651,0.06605909685048547,0.5099907317757606,0.29314315152456105,0.19905945084741394,0.8362771093883792,0.9262858200073242,0.2655009875802461,0.0750977325439453
2,0.0003,0.0081751097401857,0.15760573286777785,0.08788019816923902,0.719359327000355,0.9264997003500354,0.09223311759700133,0.07586867720992477,0.4995766044780612,0.27523706383484814,0.1824202324281766,0.7286256265678683,0.9351752305030823,0.21806405304643697,0.06904190063476562
3,0.0003,0.004591141174424731,0.1684096482708866,0.09425854948905024,0.792384082459128,0.9263464141284488,0.09784460754168255,0.07531311286329732,0.4525694903731346,0.3169568833408607,0.21907047916461803,0.8313582396545688,0.9398727416992188,0.23955748916968844,0.06134185791015625
4,0.0003,0.003289479195330016,0.17049159468325287,0.0957145098435961,0.8135326315920636,0.9250694096333696,0.09899157485753388,0.07635910913286877,0.4665273503959179,0.30459168380189605,0.20991346023108726,0.8164471382275224,0.9343207502365112,0.27827254990179007,0.06775413513183594
5,0.0003,0.0024565497569935283,0.1817668241452533,0.10313840014208492,0.8398355795032203,0.926884781921842,0.1061573625952312,0.07420829490379051,0.4462007017061114,0.32181205924166423,0.22542289140898789,0.8220650224387646,0.9385062527656555,0.26885525660388226,0.06325584411621094
6,0.0003,0.0021612998417917823,0.1787415425535685,0.10109114507798958,0.8326965543468303,0.9270332708280273,0.10438589087924388,0.074164143315068,0.4646731446310878,0.2973474668525481,0.20234860831874843,0.8032693338432589,0.9335908770561219,0.2756813364158466,0.06883888244628907
7,0.0003,0.001970644231594394,0.18069180851579938,0.101877795095429,0.840518614514865,0.9262761243086293,0.10478069389491905,0.0748099809811439,0.43376213606446984,0.3376604159546997,0.23999753384133615,0.845179487047717,0.9421947193145752,0.29538106631701627,0.05963798522949219
8,0.0003,0.0015083757543422802,0.18744384197697675,0.10613438689800773,0.8636551907768956,0.9281773935129614,0.10879190350069512,0.07262986579549656,0.45920412108302117,0.3257005533480077,0.2271089737265828,0.851870878636837,0.937722361087799,0.2564174291407215,0.06331512451171875
9,0.0003,0.001430785028159009,0.18866084234735359,0.10765227156503455,0.8571587637864022,0.9288748981040201,0.11057866825779647,0.07201197117934992,0.46445611089468003,0.32134514105529,0.22245542649784533,0.8663987600803376,0.9345136499404907,0.24300816650641557,0.06679473876953125
10,0.0003,0.0014353630472158576,0.19497495475742552,0.11183301935072053,0.8586690382947647,0.9313669104144406,0.11496717815091949,0.06954632668828768,0.4737160759791732,0.3190441094412857,0.2227095158309133,0.8426745366305113,0.9380843067169189,0.26278470482718363,0.06334815979003906
11,0.0003,0.001523566081614038,0.1878864440162486,0.10652711307974877,0.8529388960987452,0.928704395706271,0.10956069929793538,0.0722475248109166,0.4560398480296135,0.31882506665008337,0.2220469044293576,0.8546146674454212,0.9373715114593506,0.2589714113115632,0.06399627685546876
12,0.00015,0.001339879924735177,0.18602021593493198,0.10538703575730324,0.8631275946220743,0.9256089378776864,0.10791115636780184,0.07518970034250017,0.46128485023975374,0.31810094472619993,0.22199850339925206,0.842559455409646,0.9363830256462097,0.28434914255997457,0.06459747314453125
13,0.00015,0.0013956646778100503,0.18193371210702694,0.10286779363684978,0.8746915319819509,0.9246066820964892,0.10501030542986729,0.07600110057940698,0.4501566822454333,0.32276960798576704,0.22281174518089042,0.8300639933347702,0.9398730373382569,0.25693822289738105,0.06233451843261719
14,0.00015,0.0012794647514261976,0.19287379815745256,0.10970705759389625,0.850751426607493,0.9306906554924608,0.11303930764887558,0.07029994917504581,0.4578548235539347,0.31122867004925714,0.21338891830973655,0.8097188368439674,0.9411648750305176,0.2557346241430226,0.061633758544921875
15,0.00015,0.0009672705229844154,0.19075384324440423,0.1087263555921429,0.8808280339947453,0.9264660936324194,0.1111299681665137,0.07412142027552726,0.45316815305501223,0.3202045802617187,0.22053965123218697,0.8506651875376702,0.9398946857452393,0.24717860320431392,0.06162071228027344
16,0.00015,0.0009050223612396139,0.18677666614698285,0.10606339794043222,0.8879954240940235,0.9247663379206088,0.1083437774307382,0.07577555464128408,0.4515305654332042,0.3260265751165815,0.2260852703923837,0.8741152435541153,0.9367205619812011,0.24800648013190485,0.0641357421875
17,7.5e-05,0.0009411809893927169,0.18847635886325298,0.10701704711639878,0.8831471683066568,0.9253704439955974,0.10937488483793942,0.07517948857060185,0.4574528232961893,0.3214873085926744,0.2230272633150677,0.8351884838938713,0.9389815258979798,0.25771586913489647,0.06310714721679687
