epoch,lr,train_loss,train_dice,train_iou,train_sensitivity,train_specificity,train_precision,train_mae,val_loss,val_dice,val_iou,val_sensitivity,val_specificity,val_precision,val_mae
1,0.0005,0.4941960470176037,0.4669565779710293,0.3333181663244795,0.609650187570429,0.9739592377050423,0.43715541440665706,0.030114217059602464,0.2832291513409291,0.6210093964597471,0.5221333375906831,0.5970450498497374,0.9968501877784729,0.7827765822410584,0.0080169677734375
2,0.0005,0.23212749262171734,0.6894266044615049,0.5394901806827257,0.7014614229584918,0.9975506180107839,0.7204948642886537,0.005985236462251639,0.2788320600255247,0.6264859465509223,0.5274362706392572,0.5693579482286738,0.9983409070968627,0.8883016657829285,0.00792205810546875
3,0.0005,0.2034700580914754,0.7254990754434087,0.5818587667756833,0.7255644684987058,0.9979378070850922,0.7600836226486352,0.005325961014861433,0.30113841564860194,0.5960045833140181,0.4883488202839659,0.5274833301454351,0.9986029958724976,0.8779242515563965,0.008607330322265625
4,0.0005,0.19769762661844614,0.736844526274214,0.595167640366672,0.7276325275500616,0.9980313831886637,0.7800657261055683,0.005227610898115998,0.27019536780506315,0.6408188886194991,0.5369080007820891,0.6576786584406661,0.9969074702262879,0.8045136356353759,0.008870315551757813
5,0.0005,0.1914327085754018,0.7448328399241216,0.606568924074709,0.7335998372408589,0.9981868620272036,0.7891533756820263,0.004988862653818641,0.26704263633699155,0.6502565485983657,0.5366089309006499,0.601485822275238,0.9986517095565796,0.8623583781719207,0.009073867797851562
6,0.0005,0.17515365678219147,0.7663228009048972,0.6333159728381538,0.7558944978417361,0.9982550060798111,0.806973744934969,0.004517260892891589,0.26568556126853765,0.6502129621058272,0.5383990979939268,0.599006470516281,0.9983786845207214,0.855363451242447,0.009189682006835937
7,0.0005,0.1696121585957798,0.7737549700364164,0.6422859210474992,0.7646380806717362,0.9982184596022461,0.8097186255356903,0.004482441968878601,0.25469646598695816,0.6630605868956334,0.5537718600368388,0.595876081023205,0.9987135457992554,0.8917977857589722,0.008109664916992188
8,0.0005,0.18666912566241903,0.75015222330102,0.6178674393703298,0.7355445444117894,0.9982940998587588,0.8013502304209437,0.004727642232007941,0.2266216716364488,0.6982117617074577,0.5967133170310585,0.6551203262022025,0.9982210421562194,0.8272651643267162,0.0068158721923828125
9,0.0005,0.18504238306494897,0.7524634163075514,0.6157640156186657,0.7380896963700345,0.9982975466261185,0.8022955775015639,0.004721676861798322,0.23129795522836502,0.6941283397234256,0.5875587501979643,0.6565841565987356,0.9982784628868103,0.8236290150634634,0.00761383056640625
10,0.0005,0.1754799090755084,0.7649447643830453,0.6339852591907537,0.7501498449425148,0.9983424301500674,0.8141812494507542,0.004429240285614391,0.27209470361218335,0.6335777551680373,0.5430468368529843,0.5730663883685635,0.9987455940246582,0.9158417654037475,0.006948318481445313
11,0.0005,0.16811374682212563,0.7750337800359882,0.6457946212621245,0.7623881943564492,0.9983143092673502,0.8126785551741058,0.004322640689802758,0.2491864830834129,0.6697281938297808,0.5628921234114229,0.5970233590155409,0.9989828038215637,0.8749260333277118,0.007645339965820313
12,0.0005,0.18014168920217719,0.7581080591053139,0.6287485354008927,0.7399380515547999,0.9984279694380583,0.8144110691400221,0.004410127553429623,0.26912653155310634,0.6435094441606216,0.5466576368680708,0.5831953451929874,0.9986682701110839,0.8477394063819116,0.007832183837890624
13,0.00025,0.15691641092668346,0.7897207045260771,0.6646228208831308,0.7819805319723769,0.9983342576909948,0.8202939894464281,0.004001954946007748,0.2518147137662754,0.6730189416554265,0.5589486384761028,0.5985289611256011,0.9989280939102173,0.8629023482637567,0.008935623168945313
14,0.00025,0.16415357065421562,0.7797500703928402,0.6563070782234148,0.7651575877649304,0.998461881782783,0.8276200347231248,0.004099017798655318,0.2303224582825794,0.6953946357147862,0.5913907659726312,0.6514645492246635,0.9979867887496948,0.8428989412400391,0.007278518676757812
15,0.00025,0.15045098314221234,0.7985337421972565,0.6760693017408681,0.7854399289552567,0.9984413250483604,0.8323404273869078,0.003959514476634838,0.23926067604331366,0.682831236933173,0.5807604392513646,0.6220205061843879,0.9987594866752625,0.8702443673131264,0.007323760986328125
16,0.00025,0.1631158302411621,0.781104278969176,0.6608853269935635,0.7639080247546665,0.9985841348338029,0.8349546662573952,0.004071090447068705,0.23573312785971268,0.6899071466138846,0.5826417154779918,0.6211611929497011,0.9987609004974365,0.907898166179657,0.007541961669921875
17,0.00025,0.16220979938291227,0.782298876180101,0.6595274412955979,0.765708256988635,0.998455800146723,0.8322652491277137,0.004126850960185989,0.21609255112614847,0.7148292576639562,0.6113107838599592,0.690873543988753,0.998280918598175,0.8288325276657298,0.006883392333984375
18,0.00025,0.15192458680505125,0.796895446662059,0.6766925090349015,0.7812161668368574,0.9985718918435368,0.8381167927396641,0.004020102230119117,0.22775588163774274,0.7008233713681696,0.5947017384643553,0.6455223054399974,0.9986593699455262,0.8587539295018201,0.007592620849609375
19,0.00025,0.15801726165131777,0.7877889650839346,0.6672205056059998,0.7681194985660996,0.9985706045794389,0.841077145602968,0.003949687314131623,0.2238499593162851,0.7036199873947595,0.6028210342937206,0.6629772011896855,0.9984318518638611,0.8424710930806172,0.00681121826171875
20,0.00025,0.16009882530925695,0.7857409174799329,0.6638523790329963,0.7687263055230293,0.9985924014829314,0.8354487303862004,0.004029065983776202,0.23535337220502014,0.6925376028901227,0.5832440639620907,0.6286894250994809,0.9990464758872986,0.9076056337356567,0.007831649780273437
21,0.00025,0.15457322825620204,0.7924438244337407,0.6743248407058264,0.774682104219625,0.9985941153004336,0.8433676310527471,0.0038898373827522185,0.225213564772655,0.7028177340865127,0.5993994338974348,0.6800654587110765,0.9981077861785889,0.8286346593376095,0.007297134399414063
22,0.000125,0.15966687760787246,0.7855432340147074,0.6635336046846806,0.7642251906203635,0.9986226737744524,0.8423463496161095,0.004003344249332883,0.2219533510756446,0.7082112717158131,0.6013497380441956,0.6580750521547131,0.9987184882164002,0.8568446669727564,0.007386474609375
23,0.000125,0.14720358130075006,0.7984819146070153,0.6810861824078017,0.7820891002691331,0.9986495613561246,0.8447410042981734,0.003764909971888664,0.21610464013810315,0.714858854056894,0.6133418384358278,0.683135658945728,0.9983766460418702,0.841948280620187,0.006854934692382813
24,0.000125,0.13853343680439661,0.8146071721006323,0.6977631010023164,0.7966085917665144,0.9986565279862518,0.8525112977734318,0.0036764812077023853,0.2341763200927528,0.6939810510850958,0.5871548010814449,0.626503587156374,0.998812665939331,0.8724401403403682,0.007716751098632813
25,0.000125,0.14745404977550722,0.8024544900919429,0.6859685836030255,0.7833377830147621,0.9986417114489363,0.8498129579755995,0.003837773829330633,0.23053386099735576,0.7003254482655339,0.5915084577112012,0.6288539224079139,0.9989150309562683,0.8764607717145151,0.007800750732421875
26,0.000125,0.14986799593531974,0.7944468527260625,0.6789268049893058,0.7781921999601711,0.9986727723368892,0.8456103144633472,0.003801314428509999,0.22802018038247523,0.7019391363232046,0.5944895892708212,0.6468161807170398,0.998779628276825,0.8506161525531962,0.007638320922851562
27,6.25e-05,0.15093636031381388,0.7972063858813219,0.6809179621284881,0.7798918040752901,0.9986571306554378,0.8478449310785459,0.00382267987286603,0.236474164496409,0.6920185317878748,0.5813055343215489,0.6182240001073367,0.9990415620803833,0.8771298744647252,0.008023223876953124
