epoch,train_loss,train_dice,val_loss,val_dice,lr
1,0.800381952107198,0.1344665299275314,0.6582953143119812,0.45658127107882096,9.972609476841367e-05
2,0.632217209280273,0.4454769090492539,0.5200850415229797,0.6386672665172448,9.890738003669029e-05
3,0.5356601801674061,0.5433891576349399,0.4382659262418747,0.5130945150881405,9.755282581475769e-05
4,0.43989643626252317,0.6404939953375746,0.3887337076663971,0.5500311938755862,9.567727288213003e-05
5,0.3831039962086658,0.6789592576860891,0.31701444029808046,0.6500113927582625,9.330127018922194e-05
6,0.35028773166024635,0.7103513325315444,0.3307619148492813,0.6245235306480851,9.045084971874738e-05
7,0.331208568602923,0.7279863294995861,0.3164327520132065,0.6530689734848996,8.715724127386972e-05
8,0.3191517547324852,0.7580145130186905,0.3389844250679016,0.6934980059037745,8.345653031794292e-05
9,0.30932991991563097,0.7689243837148564,0.2833797985315323,0.7425859383121133,7.938926261462366e-05
10,0.30322404819015614,0.8186000817351871,0.321119521856308,0.7171819913755,7.500000000000001e-05
11,0.29957461700517946,0.816101784078182,0.2898465901613235,0.7223716334812343,7.033683215379003e-05
12,0.297598388521269,0.7601510583127967,0.317693857550621,0.7115634322534145,6.545084971874738e-05
13,0.2939080536181544,0.8057751348970358,0.2922532784938812,0.7373543062806129,6.039558454088797e-05
14,0.29140618155277315,0.8105648883576255,0.2739072486758232,0.7350841534137725,5.522642316338269e-05
15,0.2886440045671699,0.8341037557448869,0.303548184633255,0.7336686789989472,5.000000000000002e-05
16,0.28585950067504445,0.8517963731730426,0.29748701214790346,0.7426662234961987,4.4773576836617344e-05
17,0.28587516188744166,0.8419400958857909,0.2818679702281952,0.7616739071905613,3.9604415459112035e-05
18,0.28421974059485605,0.8374598406469871,0.28228898108005523,0.7416772484779358,3.4549150281252636e-05
19,0.28314155895155646,0.8443358950163602,0.2998661822080612,0.7327023845911026,2.966316784621e-05
20,0.2805337977016904,0.8546906354005445,0.2846110838651657,0.7455243325233459,2.5000000000000015e-05
21,0.28102851729579426,0.8570884848818366,0.288611880838871,0.745634908080101,2.0610737385376352e-05
22,0.2792280377367887,0.8602112173543546,0.2786322510242462,0.7506961597502232,1.654346968205711e-05
23,0.279694892343425,0.8388277204788734,0.2894342863559723,0.74958122164011,1.2842758726130304e-05
24,0.2786502616456997,0.8517837843286648,0.2909532904624939,0.7376395687460899,9.549150281252636e-06
25,0.27731016664593305,0.8568454210650284,0.29292351245880127,0.7501377083361149,6.698729810778068e-06
26,0.2763408420630443,0.8577403107297764,0.293054957985878,0.7396747477352619,4.322727117869953e-06
27,0.2778689998044889,0.8511851592965531,0.2932101798057556,0.7444996701180935,2.447174185242324e-06
28,0.27686752366676254,0.8626366085966919,0.29147348284721375,0.7504803116619587,1.092619963309716e-06
29,0.276078573470253,0.8657463021239136,0.29273033022880557,0.7444915659725666,2.7390523158633003e-07
30,0.27652776063469703,0.8673639265598093,0.2913442671298981,0.745803554803133,0.0
