Methods,DI,JA,SE,SP
U-Net,0.590,--,--,--
Attention U-Net,0.577,--,--,--
UNet++ EfficientNet-B0,0.786,0.708,--,--
Scribble-only,0.059,0.031,--,--
Scribble + Background,0.338,0.240,--,--
Weak Uncertainty Refinement,0.346,0.248,--,--
"CASR-Net
(proposed)",0.805,0.716,0.835,0.997
