Methods,DI,JA,SE,SP
Multi-layer pseudo-supervision,N/R,0.756,N/R,N/R
TransUNet,0.884,N/R,N/R,N/R
TransUNet Decoder-only,0.697,N/R,N/R,N/R
ScribFormer,0.888,N/R,N/R,N/R
ScribFormer,0.839,N/R,N/R,N/R
"CASR-Net
(proposed)",0.805,0.716,0.835,0.997
