Model,Best Epoch,Train Dice,Val Dice,Val IoU,Val Sensitivity,Val Specificity,Val Precision,Val MAE
UNet++ EfficientNet-B0,9,0.7766800367047266,0.6955649193915838,0.5942052017691845,0.6654882942846305,0.9981768202781676,0.8199182085459742,0.0068522644042968
U-Net,17,0.6690087640726298,0.589729087460105,0.4924517875400976,0.5218889386706864,0.99902408030806,0.8415303357828011,0.00944091796875
Attention U-Net,3,0.3084992168892385,0.5771549914763674,0.493312228646884,0.6396099970593754,0.9950186014417594,0.7431884273133517,0.008824462890625
