mode,threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,mae,tp,tn,fp,fn
raw_probability_tta,0.05,0,0.09689569678296167,0.0509145487292355,0.6069468963210998,0.9761890173271491,0.05265053060278245,0.9753857048190361,0.02461429499089718,12721,9383942,228891,8238
raw_probability_tta,0.05,3,0.09703707660259218,0.050992625977887916,0.6067560475210617,0.9762369740533297,0.05273546840723489,0.9754331420068018,0.024566857144236565,12717,9384403,228430,8242
raw_probability_tta,0.05,5,0.09718372854919788,0.05107362702711185,0.6064697743210046,0.9762903402150013,0.05282427647655082,0.9754857692588745,0.024514229968190193,12711,9384916,227917,8248
raw_probability_tta,0.05,10,0.09744281809058762,0.05121676184933044,0.6046089985206333,0.976441908436357,0.05299165314554083,0.9756329594826202,0.024367040023207664,12672,9386373,226460,8287
raw_probability_tta,0.05,15,0.09713391183348097,0.05104611009546817,0.5995037931196147,0.9765739194678604,0.052848298255352005,0.9757535765771143,0.024246422573924065,12565,9387642,225191,8394
raw_probability_tta,0.05,20,0.0968979170787098,0.05091577480172269,0.5960685147189293,0.9766554771106489,0.052735331363442266,0.9758274830928456,0.02417251653969288,12493,9388426,224407,8466
raw_probability_tta,0.05,30,0.0966860560700799,0.05079879563664873,0.589245670117568,0.9768895392232436,0.052663673152611536,0.9760461924027414,0.023953808471560478,12350,9390676,222157,8609
raw_probability_tta,0.05,50,0.09550615323540708,0.05014778776925722,0.5739300539145121,0.977227108803408,0.0520868966532555,0.9763497073634132,0.023650292307138443,12029,9393921,218912,8930
raw_probability_tta,0.05,75,0.09043714521371717,0.047360130087908965,0.533613244906468,0.977614403579048,0.04940518524735505,0.9766484474649225,0.023351551964879036,11184,9397644,215189,9775
raw_probability_tta,0.05,100,0.08509030267929774,0.04443567380663127,0.4942029676986048,0.977931375693304,0.04655280898876195,0.9768789901214383,0.02312101051211357,10358,9400691,212142,10601
raw_probability_tta,0.05,150,0.07702235343736495,0.0400536915106861,0.43566009828692415,0.9784652453652312,0.042245571178071616,0.9772843341438129,0.02271566540002823,9131,9405823,207010,11828
raw_probability_tta,0.05,200,0.06508024640082256,0.033634597134979724,0.3551219046708549,0.9791600457430177,0.035822576453259994,0.9778024063629348,0.02219759300351143,7443,9412502,200331,13516
raw_probability_tta,0.06,0,0.11536513123365043,0.061213518409094544,0.6030344959203191,0.9807013187475524,0.06378372377039758,0.9798796777011577,0.020120322704315186,12639,9427318,185515,8320
raw_probability_tta,0.06,3,0.11558869270880451,0.06133941791877751,0.602843647120281,0.9807521882466897,0.06392257450887813,0.9799300213249352,0.02006997913122177,12635,9427807,185026,8324
raw_probability_tta,0.06,5,0.1157850819078306,0.06145003990578043,0.6024619495202049,0.9808043060770941,0.06404702970296705,0.9799811953590021,0.0200188048183918,12627,9428308,184525,8332
raw_probability_tta,0.06,10,0.11627552926955881,0.0617263995219382,0.6012691445199669,0.980942142654511,0.06436093604763667,0.9801161370309833,0.019883863627910614,12602,9429633,183200,8357
raw_probability_tta,0.06,15,0.11596651135160686,0.06155225586504904,0.5961162269189388,0.9810645831462994,0.06423088984510021,0.9802271006058664,0.019772900268435478,12494,9430810,182023,8465
raw_probability_tta,0.06,20,0.1159944951132413,0.06156802345448207,0.5931580705183486,0.9811747483806273,0.06428261184305444,0.9803305904881474,0.019669409841299057,12432,9431869,180964,8527
raw_probability_tta,0.06,30,0.11565459085126886,0.06137653441335726,0.585667255116854,0.9813753136042196,0.06416254162070847,0.9805144225659004,0.019485577940940857,12275,9433797,179036,8684
raw_probability_tta,0.06,50,0.11368578352954155,0.06026874130348367,0.5662483897129795,0.9816954065466436,0.06318580395789405,0.9807915719998928,0.019208427518606186,11868,9436874,175959,9091
raw_probability_tta,0.06,75,0.10799638415870083,0.05708043222247179,0.5272675223052019,0.9820401540315941,0.060159176029959266,0.981050763811383,0.0189492367208004,11051,9440188,172645,9908
raw_probability_tta,0.06,100,0.10235942602376313,0.05394036543457935,0.4912925234980241,0.9823218607875526,0.05713128488520162,0.9812535915244994,0.018746407702565193,10297,9442896,169937,10662
raw_probability_tta,0.06,150,0.09219032775706643,0.04832260214336896,0.4289803902855914,0.9828247302330115,0.05164451388330145,0.9816198024619994,0.018380196765065193,8991,9447730,165103,11968
raw_probability_tta,0.06,200,0.07745130791216188,0.040285745807588244,0.3484421966695222,0.9833221902429794,0.04356774686202193,0.981940963641315,0.018059035763144493,7303,9452512,160321,13656
raw_probability_tta,0.07,0,0.13563105592070832,0.07274904269964064,0.6000763395197289,0.9841958140747884,0.07645592705166708,0.9833601348254136,0.016639865934848785,12577,9460910,151923,8382
raw_probability_tta,0.07,3,0.13595130231702493,0.07293334261385623,0.5999332029197004,0.9842455392702641,0.07666185015150216,0.9834094404363298,0.016590559855103493,12574,9461388,151445,8385
raw_probability_tta,0.07,5,0.13621827878892256,0.07308703440894812,0.5995515053196242,0.9842946403001062,0.07683794079699173,0.9834576042330986,0.01654239557683468,12566,9461860,150973,8393
raw_probability_tta,0.07,10,0.13680326616159766,0.07342395125380399,0.5979292905193005,0.9844248828623144,0.07723740084928615,0.9835840341996164,0.016415966674685478,12532,9463112,149721,8427
raw_probability_tta,0.07,15,0.13653264206588625,0.07326806208038424,0.5930626461183296,0.9845319272684744,0.07714651009793341,0.9836802579918676,0.016319742426276207,12430,9464141,148692,8529
raw_probability_tta,0.07,20,0.13680558624651207,0.07342528790160505,0.5907724605178726,0.9846377233433672,0.07735994052118449,0.9837808414381368,0.016219157725572586,12382,9465158,147675,8577
raw_probability_tta,0.07,30,0.13621436868911757,0.07308478314285105,0.5818502791160924,0.9848221642880919,0.0771361885424722,0.983945470277954,0.016054529696702957,12195,9466931,145902,8764
raw_probability_tta,0.07,50,0.13483184489036806,0.07228937751322632,0.5643876139126082,0.9851578613713554,0.07656112463107255,0.984242445757599,0.01575755514204502,11829,9470158,142675,9130
raw_probability_tta,0.07,75,0.12726639177651852,0.0679575521140171,0.5227825755043071,0.9854076316523954,0.07245207662449679,0.9844011579241062,0.015598841942846775,10957,9472559,140274,10002
raw_probability_tta,0.07,100,0.12154683023187494,0.0647058080489058,0.4888114890975291,0.9857094157362342,0.06940210543429193,0.9846283789394654,0.015371620655059814,10245,9475460,137373,10714
raw_probability_tta,0.07,150,0.1091893221798432,0.05774735855930504,0.42349348728449665,0.98619085549494,0.06267432089873234,0.9849666673309939,0.015033332630991936,8876,9480088,132745,12083
raw_probability_tta,0.07,200,0.091310920924506,0.047839599401246644,0.3400448494678467,0.9866825939866001,0.05273595027562597,0.9852757875611172,0.01472421269863844,7127,9484815,128018,13832
raw_probability_tta,0.08,0,0.1587490881410664,0.08621806355592934,0.5970227587191197,0.9870825801301231,0.09154558623413578,0.9862339772334706,0.013766022399067879,12513,9488660,124173,8446
