mode,threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,mae,tp,tn,fp,fn
raw_probability_highsens_tta,0.05,0,0.1813669542136575,0.0997270750324664,0.6520349253300959,0.9879249956802527,0.10533293253481125,0.9871942429315467,0.012805757112801075,13666,9496758,116075,7293
raw_probability_highsens_tta,0.05,3,0.18187749232744724,0.1000358840286706,0.6517486521300387,0.9879752410137563,0.1056850184136334,0.9872437561450352,0.012756244279444218,13660,9497241,115592,7299
raw_probability_highsens_tta,0.05,5,0.1823453565201003,0.1003190331970875,0.651128393529915,0.9880288152306391,0.10601752586929353,0.9872958643906772,0.012704135850071907,13647,9497756,115077,7312
raw_probability_highsens_tta,0.05,10,0.18343410894562276,0.10097850556863276,0.6484565103293819,0.9881789270655166,0.10682648850460941,0.9874398367745526,0.012560163624584675,13591,9499199,113634,7368
raw_probability_highsens_tta,0.05,15,0.18493538377602992,0.10188914605187246,0.6469297199290772,0.9883367369432082,0.10788853878225693,0.9875939816844697,0.012406018562614918,13559,9500716,112117,7400
raw_probability_highsens_tta,0.05,20,0.1854763692990246,0.10221766537555234,0.6421584999281252,0.9884829997566785,0.1083917210276147,0.9877295461641679,0.01227045338600874,13459,9502122,110711,7500
raw_probability_highsens_tta,0.05,30,0.1863314937994288,0.1027373487285017,0.635526504126802,0.9886930314923801,0.10916958987639666,0.98792469258211,0.01207530777901411,13320,9504141,108692,7639
raw_probability_highsens_tta,0.05,50,0.18881600405898677,0.10425004001920088,0.6214514051239938,0.9891831055423506,0.11131907765412788,0.9883830790617019,0.011616921052336693,13025,9508852,103981,7934
raw_probability_highsens_tta,0.05,75,0.1853313191892179,0.10212956290534154,0.5882914261173776,0.9896211657895223,0.10999107939338894,0.9887480443837682,0.011251955293118954,12330,9513063,99770,8629
raw_probability_highsens_tta,0.05,100,0.18132333843963164,0.09970070121428941,0.5562765399109899,0.9900153263871317,0.10831475287996022,0.989071696793951,0.010928303003311157,11659,9516852,95981,9300
raw_probability_highsens_tta,0.05,150,0.16906123587667743,0.09233582203259877,0.4915310844980717,0.9905738506015855,0.10208692550091146,0.9894881475539425,0.0105118528008461,10302,9522221,90612,10657
raw_probability_highsens_tta,0.05,200,0.1572186808670499,0.08531597278239347,0.4289326780855819,0.9912186137010797,0.09624855466574277,0.9899953206380199,0.010004679672420025,8990,9528419,84414,11969
raw_probability_highsens_tta,0.06,0,0.22921602185256007,0.12944324360352608,0.6485996469294104,0.9912554394734613,0.13920576730086437,0.9905099674146993,0.00949003268033266,13594,9528773,84060,7365
raw_probability_highsens_tta,0.06,3,0.22994923857866076,0.12991109836534462,0.6484087981293724,0.9912979867641507,0.1397558642959102,0.9905520069355858,0.009447992779314518,13590,9529182,83651,7369
raw_probability_highsens_tta,0.06,5,0.2305178545661149,0.13027419076307825,0.6478839639292676,0.9913371011438554,0.14020071447744645,0.9905898944050266,0.009410105645656586,13579,9529558,83275,7380
raw_probability_highsens_tta,0.06,10,0.23231889533883213,0.13142579548213443,0.6454029295287727,0.9914732732795827,0.14165436209982496,0.990720372621704,0.009279627352952957,13527,9530867,81966,7432
raw_probability_highsens_tta,0.06,15,0.2344807193919056,0.1328111915669048,0.6432081683283347,0.9916209924795314,0.1433737118061681,0.9908629955888596,0.009137004613876343,13481,9532287,80546,7478
raw_probability_highsens_tta,0.06,20,0.2355086828958638,0.13347114866078122,0.6376735531272304,0.9917636143268057,0.14442403285064356,0.9909932662029646,0.009006734006106853,13365,9533658,79175,7594
raw_probability_highsens_tta,0.06,30,0.23814530260140737,0.13516739090518237,0.6322343623261452,0.9919820722985607,0.14670194628344588,0.9911994155572376,0.008800584822893143,13251,9535758,77075,7708
raw_probability_highsens_tta,0.06,50,0.24185318982530987,0.13756143026604203,0.6196860537236415,0.992358444175613,0.15024582104226383,0.9915476688722354,0.008452330715954304,12988,9539376,73457,7971
raw_probability_highsens_tta,0.06,75,0.23789829779326765,0.1350082673975858,0.5804666253158164,0.9928060749624997,0.14960649286766484,0.9919090011492869,0.008090998977422714,12166,9543679,69154,8793
raw_probability_highsens_tta,0.06,100,0.23617446568599906,0.13389899459520732,0.5496445441096667,0.9932302995381269,0.15039949866831814,0.9922652471633175,0.0077347527258098125,11520,9547757,65076,9439
raw_probability_highsens_tta,0.06,150,0.22126809785319562,0.12439654204556662,0.47578605849493016,0.9938411496381963,0.14415404186420955,0.9927140839245845,0.007285916246473789,9972,9553629,59204,10987
raw_probability_highsens_tta,0.06,200,0.21081635574213814,0.11782823770982043,0.42163271148412534,0.9943783481935025,0.14054423716141984,0.9931322993064403,0.006867700722068548,8837,9558793,54040,12122
raw_probability_highsens_tta,0.07,0,0.2736948603803851,0.15854373256439055,0.6453552173287631,0.9933053034417628,0.17367522245474845,0.9925483132706198,0.007451686542481184,13526,9548478,64355,7433
raw_probability_highsens_tta,0.07,3,0.2745468392992867,0.15911578798684523,0.644973519728687,0.9933424412969611,0.17438980339540555,0.9925845399194825,0.007415459956973791,13518,9548835,63998,7441
raw_probability_highsens_tta,0.07,5,0.27528565167311103,0.15961231605695178,0.6443055489285536,0.9933790590141315,0.1750356448476766,0.9926196247541976,0.007380375172942877,13504,9549187,63646,7455
raw_probability_highsens_tta,0.07,10,0.278063490096425,0.16148300967960544,0.6423493487281634,0.993507429079439,0.177436573311344,0.9927434596885619,0.007256540469825268,13463,9550421,62412,7496
raw_probability_highsens_tta,0.07,15,0.28145570416331794,0.1637756471248184,0.6405839973278111,0.9936523395340365,0.18034790785140972,0.9928842142325671,0.007115785963833332,13426,9551814,61019,7533
