epoch,lr,train_loss,train_dice_thr035,train_iou_thr035,train_sensitivity_thr035,val_loss,val_dice_thr035,val_iou_thr035,val_sensitivity_thr035,best_val_dice_so_far,epochs_without_improvement
1,9.979871469976197e-06,0.46157924123108385,0.6877449166029692,0.5295510852709413,0.9163590632379055,0.759965717792511,0.4176921334705855,0.27820368464055817,0.6720003099425843,-1.0,0
2,9.919647942993148e-06,0.4594450417906046,0.6775669574757327,0.5199063394238461,0.9183939265307934,0.7528214140942222,0.4057274860771079,0.2673108628705928,0.7034028407774473,0.4176921334705855,0
3,9.819814303479266e-06,0.447491854056716,0.6848688673228025,0.5272879868745803,0.924683790653944,0.752792919936933,0.4461436412836376,0.30048615583463717,0.6649894594754043,0.4176921334705855,1
4,9.681174353198687e-06,0.45309542752802373,0.6803148191422224,0.52231255620718,0.9262476496398449,0.748932022797434,0.434995222640665,0.29280157583324534,0.6811050015844797,0.4461436412836376,0
5,9.504844339512096e-06,0.4512296698987484,0.6770650815218687,0.5182362854480743,0.9290627673268318,0.745845189220027,0.42463758705477966,0.2821377217769623,0.693007808766867,0.4461436412836376,1
6,9.29224396800933e-06,0.4471342727541924,0.6838681511580944,0.5239100571721792,0.9287258423864841,0.7484997087403348,0.4420926457172946,0.29792285867427526,0.6639197776584249,0.4461436412836376,2
7,9.045084971874737e-06,0.44592672660946847,0.6794389270246028,0.5195076487958431,0.9281881064176559,0.7465111691700784,0.4256204441189766,0.28349051036332784,0.6858172459821952,0.4461436412836376,3
8,8.765357330018054e-06,0.4426811158657074,0.6846184495836496,0.5263997621834278,0.9286235891282558,0.7448428931989168,0.4081272424051636,0.26999412614263985,0.7064618164379346,0.4461436412836376,4
9,8.455313244934323e-06,0.44185866955667735,0.6844704378396272,0.5252844084054231,0.9338760361075401,0.7431034492818933,0.41519197978471456,0.2752136013617641,0.6869898211014899,0.4461436412836376,5
10,8.117449009293666e-06,0.43721476942300797,0.691310441121459,0.5329174976795912,0.9341009810566903,0.7473611016022531,0.4167050993756244,0.2752161378923215,0.6823646890881815,0.4461436412836376,6
11,7.754484907260511e-06,0.4361392345279455,0.6896514911204576,0.53143192473799,0.933615430444479,0.7459320080907721,0.4392129563187298,0.29514016171819285,0.6681592674239686,0.4461436412836376,7
