epoch,lr,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,best_val_dice_so_far,epochs_without_improvement
41,4.545936470170599e-06,0.7228797576466545,0.5981389304897824,0.4358623218951655,0.8874155902862548,0.36033838362695725,0.24119469397964033,0.3468147550604253,0
42,3.948882931853923e-06,0.7157307193904626,0.6117617318131885,0.44965746094946,0.8856845426559449,0.3550044494985319,0.23612843417811163,0.36033838362695725,0
43,3.387875840413762e-06,0.7157191038131714,0.6019025215359984,0.4397723977072317,0.87994313955307,0.3379433764582454,0.21995638520176994,0.36033838362695725,1
44,2.8647450843757924e-06,0.7138837448886184,0.6069495544814673,0.44603177282165307,0.8779166352748871,0.3497573748311742,0.23010179088327726,0.36033838362695725,2
45,2.3811970075322827e-06,0.7138649151950586,0.5985770034985464,0.4363869025570447,0.880852233171463,0.3473062431888044,0.22885138829064963,0.36033838362695725,3
46,1.9388088432033438e-06,0.7106984765803228,0.6165513032283939,0.45321388359441134,0.879117088317871,0.3497441725517798,0.23103804753079898,0.36033838362695725,4
47,1.5390235696296227e-06,0.7098450169700091,0.607242440957515,0.4465898504389114,0.8791684055328369,0.35140403971776535,0.23146408729955723,0.36033838362695725,5
48,1.1831452032772495e-06,0.7066259098346116,0.6228563103397362,0.46200243560749976,0.8810360586643219,0.36089668192868274,0.2405734940708164,0.36033838362695725,6
49,8.723345454071305e-07,0.7053224165908626,0.6174845829850337,0.45555051672654073,0.8780655348300934,0.3516890855216178,0.23310517174086898,0.36089668192868274,0
50,6.076053957825393e-07,0.7069419915558862,0.6168658247248071,0.45517551703531234,0.8784178400039673,0.35768822402767037,0.23792723131439777,0.36089668192868274,1
51,3.8982124586499793e-07,0.7051600855393488,0.6089824049687776,0.44895978116231866,0.8776760399341583,0.35257870227969923,0.2333855705050353,0.36089668192868274,2
52,2.1969246228460353e-07,0.7036647068672492,0.614209783981081,0.4522695389927411,0.8765710866451264,0.3467202514483414,0.22780760132510278,0.36089668192868274,3
53,9.777396977174665e-08,0.7036419657410168,0.6108008603580662,0.44902220307314983,0.8769668972492218,0.35021393173249366,0.23100445282520654,0.36089668192868274,4
54,2.446344110796527e-08,0.70578363098082,0.6136912034183252,0.452716088685833,0.8772551083564758,0.3530649323843263,0.2336894493631862,0.36089668192868274,5
55,0.0,0.7046339006208983,0.6123895338568531,0.45157537841406026,0.8789959943294525,0.35888798789117965,0.23856873583976657,0.36089668192868274,6
