epoch,lr,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,best_val_dice_so_far,epochs_without_improvement
1,2.9975536558892034e-05,1.3423856057104517,0.010233922558073259,0.005151520953628189,1.2584665679931641,0.005225513634359231,0.0026342239219957265,-1.0,0
2,2.9902226030228252e-05,1.2272211059195097,0.02099389523519661,0.010639517185408011,1.2075877571105957,0.011197080922866007,0.005686403228974086,0.005225513634359231,0
3,2.9780307537715396e-05,1.1627996632310211,0.03504563125802708,0.01794135521121178,1.1587146139144897,0.014344931051600724,0.0073048559634480625,0.011197080922866007,0
4,2.9610178754135005e-05,1.1334008105465623,0.04979771281378802,0.025730797519991327,1.1279831886291505,0.01761951680062339,0.008982036710949614,0.014344931051600724,0
5,2.9392394604217465e-05,1.1121377964488794,0.06946920906766088,0.03636086646173546,1.110014934539795,0.022299829733991215,0.011415820913124049,0.01761951680062339,0
6,2.9127665454592876e-05,1.0955531870732542,0.09658993444726115,0.051918744380570585,1.096728343963623,0.034555342493105094,0.017924948920254938,0.022299829733991215,0
7,2.8816854796722754e-05,1.0796206564199728,0.16694691778756068,0.09439173130295621,1.0808839225769042,0.08235121305416826,0.04552947609535906,0.034555342493105094,0
8,2.8460976430370378e-05,1.0585243281770924,0.21443049676846937,0.12371235227098636,1.0681372714042663,0.11588594534200397,0.06430793189209666,0.08235121305416826,0
9,2.806119115679666e-05,1.0400177132887918,0.25737365277209245,0.1525526736695014,1.056995255947113,0.13793759636750824,0.07829579569103576,0.11588594534200397,0
10,2.7618802992467718e-05,1.025309206032362,0.2924669504043509,0.17715372977259217,1.0465243077278137,0.15926899847961862,0.09310176310516795,0.13793759636750824,0
11,2.713525491562421e-05,1.0115140930550997,0.3216368188531917,0.19710682496642234,1.0357505106925964,0.1564197238988065,0.09024669925559398,0.15926899847961862,0
12,2.6612124159586236e-05,0.9992507456756029,0.3350874288923672,0.20855899115062518,1.0288970971107483,0.16184687466657144,0.0947695498151554,0.15926899847961862,1
13,2.6051117068146073e-05,0.9867102181325194,0.35279022025891016,0.22213085667520274,1.0195912909507752,0.169016748148769,0.09953439823706432,0.16184687466657144,0
14,2.5454063529829408e-05,0.9748279227585089,0.3650476925925429,0.2323737388659147,1.0138723039627076,0.19976262362173994,0.11931390696636637,0.169016748148769,0
15,2.4822911009179282e-05,0.9632153286308539,0.37684991951176866,0.24097195178361946,1.0054739141464233,0.1767375737123363,0.10467537940220761,0.19976262362173994,0
16,2.4159718194531577e-05,0.9516640373917876,0.3918453883074346,0.25063616864871785,0.9999034643173218,0.1981736234566884,0.11960546634073721,0.19976262362173994,1
17,2.3466648283001542e-05,0.939841411152824,0.40083916717376866,0.25990635659698336,0.9940296697616577,0.18027632085374434,0.10644086200511892,0.19976262362173994,2
18,2.2745961924584433e-05,0.9274422521473932,0.42319748135375196,0.2781014452825804,0.9873628163337708,0.17483628630638123,0.1030833937227726,0.19976262362173994,3
19,2.2000009848385107e-05,0.9157274722075853,0.43594746151175656,0.2869132835051564,0.9805931782722473,0.23931784088848937,0.1491408988566588,0.19976262362173994,4
20,2.12312251950283e-05,0.9043417177239402,0.45404418472383845,0.3011109833834601,0.975290150642395,0.2551135564747258,0.15711180662391622,0.23931784088848937,0
