mode,threshold,dice,iou,sensitivity,specificity,precision,accuracy,mae,tp,tn,fp,fn
raw_probability_5slice,0.01,0.01216742093147354,0.006120948544456919,0.6848132067366359,0.7582461902750202,0.0061382410751094985,0.7580864315941213,0.2419135719537735,14353,7288894,2323939,6606
raw_probability_5slice,0.02,0.022473673883183793,0.011364538406583129,0.614771697122661,0.8842348556351693,0.011446048559316814,0.8836486193598525,0.11635138094425201,12885,8500002,1112831,8074
raw_probability_5slice,0.03,0.0351348384604304,0.01788155194980428,0.5879574407173109,0.9304901062985274,0.018108477465430074,0.9297449021112342,0.0702551007270813,12323,8944646,668187,8636
raw_probability_5slice,0.04,0.051917257822067076,0.02665043773450003,0.5693496827135983,0.9556009139033198,0.027198712659606338,0.9547605968656985,0.0452394038438797,11933,9186032,426801,9026
raw_probability_5slice,0.05,0.06428877433976687,0.033211965445847556,0.5548928861107139,0.9657524477955657,0.034120981322942494,0.964858593583917,0.03514140471816063,11630,9283617,329216,9329
raw_probability_5slice,0.06,0.07614226721726135,0.03957790948872626,0.5454458705088289,0.9721321487640523,0.040927821395453944,0.9712038624043358,0.028796138241887093,11432,9344944,267889,9527
raw_probability_5slice,0.07,0.096271737502937,0.05057010467274371,0.5368576745071154,0.9790338602574279,0.05287693377694821,0.9780718745017529,0.021928125992417336,11252,9411289,201544,9707
raw_probability_5slice,0.08,0.14629582040180636,0.07892080193373532,0.5296531323056779,0.9875477915823556,0.08486873289398596,0.9865516091690573,0.013448391109704971,11101,9493132,119701,9858
raw_probability_5slice,0.09,0.2437743991279995,0.13880585672305468,0.5228779999043262,0.9939671270685749,0.15893665158368736,0.992942239151519,0.007057760842144489,10959,9554840,57993,10000
raw_probability_5slice,0.1,0.2877997085706335,0.16808764138824825,0.5182976287034122,0.9954573225187612,0.19920779006433054,0.9944192276519973,0.005580772180110216,10863,9569165,43668,10096
raw_probability_5slice,0.11,0.30203807014096856,0.1778827103420655,0.514051242902565,0.9958795705698821,0.2138419705058822,0.9948313187579709,0.0051686810329556465,10774,9573224,39609,10185
raw_probability_5slice,0.12,0.31077124754201285,0.18397226964661323,0.5089937497015559,0.9961480658199295,0.2236665548473198,0.9950882269411662,0.004911772906780243,10668,9575805,37028,10291
raw_probability_5slice,0.13,0.31752998827521306,0.18872846830101697,0.5039362565005467,0.9963585136660535,0.23179055017880665,0.9952872140066955,0.0047127860598266125,10562,9577828,35005,10397
raw_probability_5slice,0.14,0.3234849653044991,0.192950828719083,0.5004532658998518,0.9965252699178266,0.23897837825516874,0.9954460299744888,0.0045539699494838715,10489,9579431,33402,10470
raw_probability_5slice,0.15,0.3283388856434109,0.19641474149489102,0.49611145569898557,0.9966731971729864,0.24536316013019838,0.9955841894863404,0.004415810573846102,10398,9580853,31980,10561
raw_probability_5slice,0.16,0.3332365091659674,0.19993029064922643,0.4926284650982906,0.996808016949841,0.2517740008290249,0.995711138459289,0.004288861528038979,10325,9582149,30684,10634
raw_probability_5slice,0.17,0.3372039473683656,0.202793329244851,0.48909776229758617,0.9969218231503648,0.25729775859033227,0.9958170157711512,0.004182984121143818,10251,9583243,29590,10708
raw_probability_5slice,0.18,0.3410855307187222,0.2056076651537659,0.486330454697034,0.997023146038217,0.2626452626967295,0.995912097749255,0.0040879021398723125,10193,9584217,28616,10766
raw_probability_5slice,0.19,0.3450528142061974,0.20849777997035676,0.4839448446965581,0.9971195796286059,0.26810636498195495,0.9960031314771993,0.003996868617832661,10143,9585144,27689,10816
raw_probability_5slice,0.2,0.34841785270133546,0.2109600501986591,0.48122524929601546,0.9972067547620967,0.27305953380072207,0.9960842002816742,0.003915799781680107,10086,9585982,26851,10873
raw_probability_5slice,0.21,0.3516302538675208,0.21332001190421043,0.4787919270955299,0.9972866479631958,0.27783930450183353,0.9961586258038362,0.0038413743022829294,10035,9586750,26083,10924
raw_probability_5slice,0.22,0.35499849095454133,0.21580435580301416,0.4770265756951777,0.9973608196459869,0.28268491291555004,0.9962287954732665,0.003771204501390457,9998,9587463,25370,10961
raw_probability_5slice,0.23,0.3577981651375503,0.21787709497201932,0.47449782909467314,0.9974319745282156,0.28717045421723686,0.9962942940848205,0.0037057059817016125,9945,9588147,24686,11014
raw_probability_5slice,0.24,0.36059899438891635,0.21995777308584957,0.47220764349421623,0.9974995924718542,0.2916629829368781,0.9963567824590764,0.003643217496573925,9897,9588797,24036,11062
raw_probability_5slice,0.25,0.36349896785602265,0.22211960806392114,0.4704900042938735,0.9975620090352126,0.29615280655906057,0.9964153263844591,0.0035846736282110214,9861,9589397,23436,11098
raw_probability_5slice,0.26,0.36618562851915465,0.2241292737480659,0.4685338040934832,0.9976224490740649,0.30053557765866856,0.9964713790789744,0.0035286208149045706,9820,9589978,22855,11139
raw_probability_5slice,0.27,0.3686005539747944,0.22594132594127375,0.4666730282931119,0.9976769595393981,0.3045901843546635,0.996521722702752,0.0034782772418111563,9781,9590502,22331,11178
raw_probability_5slice,0.28,0.37120981258563707,0.2279052363244632,0.46495538909276923,0.9977321981979704,0.3089237597082552,0.9965731043393911,0.003426895709708333,9745,9591033,21800,11214
raw_probability_5slice,0.29,0.37380732533079913,0.2298665657234244,0.4635717352924931,0.9977832757523188,0.31316680096686117,0.9966210605335875,0.0033789395820349455,9716,9591524,21309,11243
raw_probability_5slice,0.3,0.3757474567056815,0.2313356123448564,0.4617109594921219,0.9978287358159651,0.3167697796980861,0.9966623734454709,0.00333762657828629,9677,9591961,20872,11282
raw_probability_5slice,0.31,0.37816213672189314,0.23316889146831277,0.4600410324917887,0.9978785650390463,0.321025470284561,0.9967084612165169,0.0032915386836975813,9642,9592440,20393,11317
raw_probability_5slice,0.32,0.38046058879384687,0.23491900608364855,0.45875280309153166,0.9979225687162141,0.32499577488581205,0.9967495665258281,0.0032504333648830652,9615,9592863,19970,11344
raw_probability_5slice,0.33,0.3820457625766599,0.23612890509504383,0.4572737248912366,0.9979580421297229,0.328073118132226,0.9967817449245313,0.003218255005776882,9584,9593204,19629,11375
raw_probability_5slice,0.34,0.38371415365439127,0.2374048838712296,0.4555083734908843,0.9979969484542164,0.33147003680288467,0.9968167259579603,0.0031832740642130375,9547,9593578,19255,11412
raw_probability_5slice,0.35,0.38578001175532833,0.2389884988196879,0.45407700749059876,0.9980377272756107,0.3353417899928346,0.9968543020235429,0.0031456979922950268,9517,9593970,18863,11442
raw_probability_5slice,0.36,0.3879694332065735,0.24067126343534764,0.4529796268903798,0.9980766336001042,0.33927741843249853,0.9968907362749778,0.0031092637218534946,9494,9594344,18489,11465
raw_probability_5slice,0.37,0.3895986153464952,0.24192640360298842,0.451071138889999,0.9981151238141753,0.3428716498022185,0.9969249906994038,0.00307500921189785,9454,9594714,18119,11505
raw_probability_5slice,0.38,0.3911843443251518,0.2431505082296468,0.44968748508972295,0.9981479965375442,0.346151021007659,0.9969547816685258,0.0030452182982116938,9425,9595030,17803,11534
raw_probability_5slice,0.39,0.393009448950499,0.24456238942651565,0.44849468008948495,0.9981819095369691,0.3497414145922723,0.9969860258556538,0.00301397405564785,9400,9595356,17477,11559
raw_probability_5slice,0.4,0.39478670990011483,0.24594034470992265,0.44730187508924696,0.9982148862879435,0.3533069530807035,0.9970163358312065,0.0029836641624569893,9375,9595673,17160,11584
raw_probability_5slice,0.41,0.396300852670344,0.24711670722668314,0.4457273724889328,0.9982476549837067,0.356741894833178,0.9970456077938978,0.0029543922282755375,9342,9595988,16845,11617
raw_probability_5slice,0.42,0.3979404349868825,0.24839303336616214,0.44434371868865674,0.9982800075690477,0.36031260881326255,0.9970748797565891,0.0029251202940940857,9313,9596299,16534,11646
raw_probability_5slice,0.43,0.3989506955941259,0.24918076819762314,0.442626079488314,0.9983073668293198,0.3631204008140116,0.9970984426485429,0.0029015573672950268,9277,9596562,16271,11682
raw_probability_5slice,0.44,0.39982672731202085,0.24986464537080405,0.4403836060878666,0.9983375348349431,0.3661100313353829,0.9971236663610747,0.002876333659514785,9230,9596852,15981,11729
raw_probability_5slice,0.45,0.4010290622887041,0.25080447232062975,0.4388091034875524,0.9983656222884545,0.36923879877936033,0.9971482672658898,0.002851732773706317,9197,9597122,15711,11762
raw_probability_5slice,0.46,0.40222899892490244,0.2517438347887484,0.4373777374872668,0.9983922533554874,0.37230931687093965,0.9971717263565573,0.0028282736893743277,9167,9597378,15455,11792
raw_probability_5slice,0.47,0.40358309063621844,0.2528055724472738,0.43637578128706694,0.9984168038704085,0.3753745126204082,0.9971940436330773,0.002805956406518817,9146,9597614,15219,11813
raw_probability_5slice,0.48,0.40467737640889223,0.25366491418391235,0.4350875518868099,0.9984406261920904,0.3782404911027507,0.9972150114928774,0.002784988610073924,9119,9597843,14990,11840
raw_probability_5slice,0.49,0.40559253137972806,0.25438449039047056,0.4332267760864386,0.9984671532315178,0.38127230736914497,0.9972374325706835,0.0027625674847513437,9080,9598098,14735,11879
raw_probability_5slice,0.5,0.40692737932109735,0.2554355489128182,0.4321771076862292,0.998491391663622,0.38446519524601674,0.997259334642059,0.002740665338933468,9058,9598331,14502,11901
raw_probability_5slice,0.51,0.40810700890225315,0.25636585573558457,0.43088887828597217,0.9985157341233318,0.3876132022831934,0.9972808215082899,0.0027191785629838705,9031,9598565,14268,11928
raw_probability_5slice,0.52,0.40925007958515414,0.2572686469023536,0.42936208788566754,0.9985415329695201,0.3909379208478253,0.9973032425860959,0.00269675743766129,8999,9598813,14020,11960
raw_probability_5slice,0.53,0.410720007323566,0.25843149678861255,0.42812157068542,0.9985683720917643,0.39467780954458115,0.9973273244844804,0.0026726755313575268,8973,9599071,13762,11986
raw_probability_5slice,0.54,0.4117538688282029,0.2592506669759137,0.4265470680851059,0.998593026634291,0.3979523703537067,0.9973484999468528,0.0026515000499784946,8940,9599308,13525,12019
raw_probability_5slice,0.55,0.41309835344239065,0.2603175529740645,0.42554511188490596,0.9986161207627337,0.4013590135899553,0.9973693640053668,0.0026306360960006714,8919,9599530,13303,12040
raw_probability_5slice,0.56,0.4141223596263504,0.26113134398488574,0.4242091702846394,0.9986383826703314,0.4045040946312991,0.9973886710445887,0.002611328847706318,8891,9599744,13089,12068
raw_probability_5slice,0.57,0.41505633241973744,0.2618745012265357,0.4227300920843443,0.998660748605535,0.4076562068646325,0.9974077704812384,0.0025922295171767473,8860,9599959,12874,12099
raw_probability_5slice,0.58,0.41586442273733887,0.2625182015392522,0.4214895748840968,0.9986796816297537,0.4103874384463391,0.9974239634818761,0.002576036611571908,8834,9600141,12692,12125
raw_probability_5slice,0.59,0.4168028225709984,0.26326652707141396,0.41991507228378266,0.9987026717305908,0.4137363670550894,0.9974434781236704,0.002556521911174059,8801,9600362,12471,12158
raw_probability_5slice,0.6,0.41777333523717985,0.2640413946631377,0.41876997948355416,0.9987223329480488,0.4167814236191572,0.9974606053358834,0.0025393946561962366,8777,9600551,12282,12182
raw_probability_5slice,0.61,0.4186758515115723,0.26476282671821616,0.41757717448331616,0.9987415780550843,0.41978032519525166,0.9974772135416657,0.0025227863807231188,8752,9600736,12097,12207
raw_probability_5slice,0.62,0.41958614051962956,0.26549130659837844,0.41600267188300205,0.9987639439902879,0.4232318819472728,0.9974961053757431,0.0025038947351276875,8719,9600951,11882,12240
raw_probability_5slice,0.63,0.42032947095952483,0.266086796728962,0.4145235936827069,0.9987837092353514,0.4263002944060715,0.9975126097802393,0.0024873903021216393,8688,9601141,11692,12271
raw_probability_5slice,0.64,0.42158532431501594,0.2670941488377005,0.41337850088247846,0.9988058671153437,0.43012460904511235,0.9975322282233197,0.0024677717592567205,8664,9601354,11479,12295
raw_probability_5slice,0.65,0.42246015449290547,0.26779682028069923,0.4122811202822595,0.9988236558359009,0.4331545440872058,0.9975475908136683,0.002452409127727151,8641,9601525,11308,12318
raw_probability_5slice,0.66,0.42337738908258654,0.2685343887312573,0.41113602748203104,0.9988421727496972,0.43637008153115087,0.9975635762117337,0.002436423674225807,8617,9601703,11130,12342
raw_probability_5slice,0.67,0.42468562393447523,0.26958785521602485,0.4100863590818216,0.998863706464056,0.4403627420840043,0.9975827794496696,0.002417220501229167,8595,9601910,10923,12364
raw_probability_5slice,0.68,0.4247633716740554,0.2696505172848001,0.4078915978813837,0.9988822233778524,0.4430911164090167,0.9975964812194399,0.002403518883511424,8549,9602088,10745,12410
raw_probability_5slice,0.69,0.42564358910261796,0.270360374662559,0.40626938308106003,0.9989039651474223,0.44695816492549106,0.9976146464445144,0.002385353669524193,8515,9602297,10536,12444
raw_probability_5slice,0.7,0.42602361215764234,0.27066709224376934,0.40459945608072684,0.9989211297023459,0.44984350962789776,0.9976281406117125,0.0023718595039099455,8480,9602462,10371,12479
raw_probability_5slice,0.71,0.42729730412581746,0.2716961732479929,0.4034543632804984,0.9989426634167046,0.45413533834562075,0.997647136247076,0.002352863783016801,8456,9602669,10164,12503
raw_probability_5slice,0.72,0.42789988565609766,0.2721836107967441,0.40173672408015565,0.9989622206065569,0.457708197433976,0.9976629140425692,0.0023370860144495964,8420,9602857,9976,12539
raw_probability_5slice,0.73,0.42880875099025517,0.2729195133059168,0.40025764587986057,0.9989827140448597,0.4617459269041932,0.9976801450560684,0.0023198549170047045,8389,9603054,9779,12570
raw_probability_5slice,0.74,0.429338471419286,0.27334881742933254,0.3986831432795464,0.9990002947102057,0.4651007458530195,0.9976942620309833,0.002305737929418683,8356,9603223,9610,12603
raw_probability_5slice,0.75,0.4298708010334807,0.27378052794408736,0.39687007967918464,0.9990197478724524,0.46885744884703856,0.9977097284226181,0.0022902716882526875,8318,9603410,9423,12641
