epoch,lr,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,9.96057350657239e-05,1.7779332200686138,0.01426380611590895,0.007208304637221291,1.6541815556977923,0.008994444270348666,0.004537999829105837
2,9.842915805643155e-05,1.3995369368908452,0.035337337283600195,0.018093047377096452,1.4021202388562655,0.016818627091244473,0.008574916924053138
3,9.648882429441257e-05,1.2608389153200037,0.02186430455783765,0.011277490178189398,1.2646105540426154,0.015685745173834576,0.008043352746296592
4,9.381533400219318e-05,1.18687303276623,0.014380246393791042,0.0073174297029845415,1.208649196122822,0.023768999269646648,0.012378837183091209
5,9.045084971874738e-05,1.1377902404934752,0.06095826135044018,0.0321001106947534,1.1308701603036178,0.08002225181647506,0.04444989588475225
6,8.644843137107059e-05,1.0985694340631074,0.20595618453078662,0.11884648381121636,1.1111276024266292,0.1311169663934156,0.07602970220735017
7,8.18711994874345e-05,1.068337548012827,0.3891597095621275,0.24998613258860275,1.072716142001905,0.2517474468959964,0.15506375416973875
8,7.679133974894983e-05,1.0434080070140315,0.5154364943942603,0.35669247908335106,1.053723394870758,0.2949270371249632,0.18426965554489902
9,7.128896457825363e-05,1.0136837369086695,0.525953680459483,0.3652148684486747,1.0257157683372498,0.32293466125663955,0.2003584849207025
10,6.545084971874737e-05,0.97899023808685,0.5248808109877157,0.3663273515070186,1.0049108172717847,0.3762893849297574,0.2437077739128941
11,5.936906572928624e-05,0.9519328130226509,0.556230130879318,0.3939549743252642,0.9904715952120329,0.372649023407384,0.23947795205994657
12,5.313952597646568e-05,0.9280295529786278,0.5738486441619256,0.41093909528617767,0.9754155686027125,0.37512672810178055,0.24239087849855423
13,4.6860474023534335e-05,0.9015066512659484,0.6062082418916273,0.443617535572426,0.9579389565869382,0.3298306453384851,0.20986585417076162
14,4.0630934270713774e-05,0.8778187398817024,0.6046769995899761,0.44375650497043834,0.9454513003951625,0.32042090594768524,0.2016351644537951
15,3.454915028125265e-05,0.8530039927538704,0.6150628277191929,0.45383185791034325,0.9287016203528956,0.36421168634766027,0.23490700243335022
16,2.871103542174637e-05,0.8301622061168447,0.6421486497217533,0.48306173455043167,0.9225392467097232,0.3242156387943971,0.20437074001682431
17,2.3208660251050158e-05,0.8100053738145268,0.651138246643777,0.49028337367025077,0.9117522835731506,0.37876085976236745,0.2488537458212752
18,1.8128800512565513e-05,0.7916434687726638,0.6571084681679221,0.49822357194680794,0.8900957891815587,0.3969800268348895,0.26149831222076164
19,1.3551568628929434e-05,0.7764037245628881,0.6765585904027901,0.5177117168318992,0.8797942933283354,0.42635453374762283,0.28650378631918055
20,9.549150281252635e-06,0.769043505191803,0.6795011083869373,0.5228024564829528,0.8912472819027147,0.42831771663929286,0.28729990477624695
21,6.184665997806822e-06,0.7639752065434176,0.6832711429280394,0.5273482738172307,0.8953384929581693,0.4191400604812722,0.27987488790562276
22,3.5111757055874332e-06,0.7574551508707159,0.6859026735319811,0.527961822993615,0.8813894155778383,0.42894126710138825,0.2890178504350938
23,1.570841943568452e-06,0.7556414820399939,0.6803901253962049,0.5242674178352543,0.8787274344971305,0.4208175049800622,0.281988961524085
24,3.942649342761118e-07,0.7532818551157036,0.6908669563777307,0.5357973249081303,0.8803430497646332,0.43023056301631424,0.2894507346576766
25,0.0,0.7518677179719887,0.6933214933264489,0.537255054303244,0.8768019158589212,0.42308202542756734,0.2833724376794539
