epoch,lr,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,2.993961440992859e-05,0.7181036737949952,0.6547631553333738,0.4953443563502768,0.8634847386887199,0.4193628340175277,0.28100143353405754
2,2.9758943828979448e-05,0.7062532681485881,0.6602131996465765,0.502439539960545,0.8426475728812971,0.4178591825460133,0.2790968571054308
3,2.9459442910437805e-05,0.6932354400987211,0.6656618335324785,0.5066704719286897,0.838169410040504,0.39237354127200025,0.2585008357112345
4,2.9043523059596066e-05,0.6829007310063943,0.6643567823845408,0.5059345848858356,0.8403228144896658,0.43091876255838496,0.29125224504815905
5,2.8514533018536296e-05,0.6704737702789514,0.6812476476897364,0.5234583097955455,0.8155541121959686,0.44425883340208155,0.29938864649126407
6,2.7876731904028e-05,0.6570154713547748,0.6869183179476986,0.529967903766943,0.8272680546108045,0.43474884076338066,0.2936694319114873
7,2.713525491562422e-05,0.6502016562482585,0.683098819916663,0.5249818456561669,0.8140539385770497,0.41824758758670405,0.27853882391201823
8,2.6296071990054174e-05,0.6426629077481187,0.6961426184229229,0.5393661937635877,0.8111729857168699,0.45028562353629814,0.3078113135538603
9,2.536593973480298e-05,0.6329855637057967,0.6966091614702473,0.5427867180627325,0.8010295221680089,0.4394349322507256,0.2973574113688971
10,2.4352347027881014e-05,0.6247906095307806,0.7045225381203319,0.5496913706478865,0.8041468137188962,0.46519304831561287,0.3207512681225413
11,2.3263454721781548e-05,0.6189725110712259,0.695661491997864,0.5401471684808317,0.7856699808647758,0.42715238309220266,0.28453197114561735
12,2.210802993709499e-05,0.6106957349440326,0.7008015309338984,0.547106825625119,0.7827560682045785,0.44470916766869395,0.300895556807518
13,2.0895375474808864e-05,0.6096575904799544,0.6996368312317393,0.5472521689598975,0.7899269759654999,0.4150069152054034,0.27377895795201
14,1.9635254915624217e-05,0.6039853708251662,0.7106820338446161,0.5569074089112489,0.7875402130578694,0.4550346010609677,0.3097602462297992
15,1.8337814009344722e-05,0.5971053984502087,0.7046917660728745,0.5513576492667198,0.7788009643554688,0.42353423371126775,0.28392661598167923
16,1.701349898726484e-05,0.5933251235148181,0.7109227170762809,0.556839204352835,0.7864985873824671,0.4434385299682617,0.3009104530670141
17,1.567297245525773e-05,0.5908226082506387,0.7125006282459134,0.5593703282268151,0.7802293708449916,0.45114323692886454,0.30818801726165573
18,1.4327027544742281e-05,0.5826903477959011,0.7130387367113776,0.5610319388949353,0.7857908732012698,0.4712623732701133,0.3315872753379565
19,1.2986501012735174e-05,0.5823505485187406,0.7144611089125924,0.5622395967011866,0.7749404217067518,0.4502647511268917,0.3063911966195232
20,1.1662185990655289e-05,0.5775587218611137,0.7219857421258221,0.5710636380573978,0.7669869410364252,0.4432177775000271,0.3002557248661393
21,1.0364745084375793e-05,0.5726498676382977,0.7244747611491577,0.5743420752494232,0.7657159864902496,0.4427544051095059,0.3007147518035613
22,9.104624525191154e-06,0.5726741345032401,0.7206282725800639,0.5690186943696893,0.7597796901276237,0.45908786846618904,0.31467745198230995
23,7.891970062905025e-06,0.5718306656117025,0.723047625111497,0.5720484729694284,0.7608316525032646,0.4619933617742438,0.31733413119065135
24,6.7365452782184675e-06,0.5680114610687547,0.7287653418986694,0.5794431515361952,0.7605422531303606,0.4700957132797492,0.3258664222728265
25,5.647652972119002e-06,0.5713429094656653,0.7296831121911174,0.5791738051111284,0.7599537341218245,0.4713645997016053,0.3250014821165486
26,4.634060265197034e-06,0.5677499142677888,0.730596201899259,0.5817429462204808,0.7594228951554549,0.45274023829322113,0.30879030062964086
27,3.7039280099458403e-06,0.5624667331576347,0.7385829265998758,0.5897551749063574,0.7587793500799882,0.47265109027686875,0.3276359297727284
28,2.864745084375792e-06,0.5653302196575247,0.731277873982554,0.5821109355791755,0.7565915631620508,0.4668647199869156,0.3217540508822391
29,2.12326809597201e-06,0.5596965619403383,0.7360298789065817,0.5868441164493561,0.7560151972268757,0.47086551785469055,0.3247144569299723
30,1.4854669814637158e-06,0.5612984225153923,0.7388879025112027,0.5905541090861611,0.7598801176798972,0.4748394846131927,0.3299131426764162
31,9.564769404039427e-07,0.5613753701681676,0.7294917790138203,0.5810774114468823,0.7588860125918138,0.4694026067460838,0.3253897258913831
32,5.405570895622018e-07,0.5618789911918018,0.7377801880888317,0.5887000907374464,0.7564069707142679,0.45992878353909444,0.31508879167468923
33,2.4105617102055516e-07,0.5625941792260045,0.7377280369400978,0.5898067504167557,0.7564466062345003,0.462334652872462,0.31717024645523023
34,6.038559007141403e-08,0.5597901078669921,0.7425311920435532,0.5941092449685802,0.7584015303536465,0.46714859573464645,0.3214127927234298
35,0.0,0.5578837223027063,0.7436390182246333,0.5964076301973799,0.757459471100255,0.4709335728303382,0.3266022812182966
