epoch,lr,train_loss,train_scribble_fg_loss,train_scribble_bg_loss,train_pseudo_fg_loss,train_pseudo_bg_loss,train_soft_teacher_loss,val_loss,val_dice_thr050,val_iou_thr050,val_sensitivity_thr050,val_specificity_thr050,val_precision_thr050,best_val_dice_so_far,epochs_without_improvement
1,4.993910125649561e-05,0.2437226683474504,0.039972546307417825,0.3420729748904705,0.06950333037485297,0.0014017223147675395,0.002697406614644047,0.5998607043709073,0.7596061825752258,0.6123911142349243,0.8416309952735901,0.9971995949745178,0.6921496987342834,-1.0,0
2,4.975670171853926e-05,0.22517568837755766,0.038045509616868235,0.3079487978456876,0.06765390469286686,0.0014602074646599926,0.002737673210317436,0.6342210514204842,0.7485499382019043,0.5981460809707642,0.8402378559112549,0.9969721436500549,0.6749035716056824,0.7596061825752258,0
3,4.9453690018345144e-05,0.21457281221564,0.03575197531459614,0.2937706568493293,0.06497408767254689,0.0013715772486951512,0.0026485309734618147,0.5408257399286542,0.7488855719566345,0.5985747575759888,0.8517613410949707,0.9968356490135193,0.6681824326515198,0.7596061825752258,1
4,4.9031542398457974e-05,0.21239182324363634,0.034680569341453985,0.28932060874425447,0.06623745264294438,0.001371656663533754,0.0026827475163512505,0.5389222085475922,0.7493544816970825,0.5991741418838501,0.8497611880302429,0.996871292591095,0.6701682209968567,0.7596061825752258,2
5,4.849231551964772e-05,0.20917272959382105,0.033307750357123904,0.28934924877606905,0.06350371129333209,0.0014823991726958551,0.0027455339388838275,0.5355518192052842,0.7522180676460266,0.6028441786766052,0.8576176762580872,0.996838390827179,0.6698898673057556,0.7596061825752258,3
6,4.783863644106502e-05,0.20407072187234193,0.03296262518657992,0.27970324189235,0.06295712242046228,0.001438610004604412,0.0026725708724907003,0.5484126440116337,0.7462210655212402,0.5951775312423706,0.8555328845977783,0.9967275261878967,0.66167813539505,0.7596061825752258,4
7,4.707368982147318e-05,0.20605819385785323,0.03286378254564718,0.2833970942749427,0.06354017676307987,0.0014646783424839855,0.002699847742825603,0.519354316166469,0.7402278184890747,0.5875886678695679,0.8595581650733948,0.9965373873710632,0.6499911546707153,0.7596061825752258,5
8,4.620120240391065e-05,0.2013662447914099,0.03182107366872235,0.2757757436006497,0.06326426366248573,0.0014176446092255318,0.002659715974004939,0.5024172561509269,0.7498793601989746,0.5998455882072449,0.8543636202812195,0.9968258142471313,0.6681661009788513,0.7596061825752258,6
9,4.522542485937369e-05,0.19780337046354246,0.030866551681612737,0.2716408526668182,0.062201487163129524,0.001424803496308577,0.0026348639101995966,0.4859156787395477,0.7446694374084473,0.5932058691978455,0.8631207346916199,0.9965960383415222,0.65480637550354,0.7596061825752258,7
10,4.4151111077974446e-05,0.19644096598793298,0.03130473241878626,0.26609540176697266,0.063252321516092,0.0013346817450394903,0.0025981722798091,0.5339640694005149,0.7566885352134705,0.6086074113845825,0.8487163186073303,0.997048556804657,0.6826658844947815,0.7596061825752258,8
