epoch,lr,train_loss,train_scribble_fg_loss,train_scribble_bg_loss,train_pseudo_fg_loss,train_pseudo_bg_loss,train_soft_teacher_loss,val_loss,val_dice_thr050,val_iou_thr050,val_sensitivity_thr050,val_specificity_thr050,val_precision_thr050,best_val_dice_so_far,epochs_without_improvement
11,4.2983495008466276e-05,0.20068290438025427,0.030123943039096702,0.2790208726357191,0.06242117509007072,0.0016870018298504874,0.0028571957723798756,0.593727120757103,0.7603100538253784,0.6133065819740295,0.8370484709739685,0.9972708225250244,0.6964603662490845,0.7596061825752258,9
12,4.172826515897145e-05,0.19420882858909094,0.028940271108578414,0.26797888160516053,0.062238869651292376,0.0013385684112271962,0.0025694233287746706,0.5304121366568975,0.7402299642562866,0.587591290473938,0.8620558977127075,0.996505618095398,0.6485733985900879,0.7603100538253784,0
13,4.039153688314145e-05,0.1918357894397699,0.028993302350266814,0.2657676501533924,0.060110685570786394,0.0014864621625747532,0.0025972243023809427,0.5969138600996562,0.7627246379852295,0.6164550185203552,0.830754280090332,0.9973993301391602,0.7049934267997742,0.7603100538253784,1
14,3.8979822586768667e-05,0.1903951211999624,0.028284129509791874,0.26393732390342617,0.060302039459108926,0.0013999711204982863,0.0025511333787551103,0.6466427126101085,0.759781539440155,0.6126191020011902,0.8258135318756104,0.9973965883255005,0.703527569770813,0.7627246379852295,0
15,3.75e-05,0.18960083686770537,0.02848539271582969,0.25953367290397483,0.06171102782424826,0.0013812733101449572,0.002576515769574027,0.4907815435103008,0.74325031042099,0.5914067625999451,0.8616330027580261,0.9965817928314209,0.6534680724143982,0.7627246379852295,1
16,3.5959278669726935e-05,0.18466317290679002,0.026624762172548052,0.2541191211113563,0.06089918713013713,0.0012525239243330315,0.0024679873559552315,0.5262284121343068,0.7524852752685547,0.6031875014305115,0.8551348447799683,0.9968752264976501,0.6718384027481079,0.7627246379852295,2
17,3.43651648353978e-05,0.1857402682877504,0.027756927552847907,0.25610146795709926,0.0595160379098394,0.0013195053088099647,0.0024585222753767785,0.4659393732036863,0.7430838942527771,0.5911960601806641,0.8749925494194031,0.9964088201522827,0.6457364559173584,0.7627246379852295,3
18,3.272542485937369e-05,0.1824907899284974,0.025539702894046713,0.25395217595192104,0.05940676885895813,0.0013490871142727346,0.00246277195849241,0.5039727543081556,0.7503381371498108,0.6004329323768616,0.8626181483268738,0.9967333674430847,0.6639208793640137,0.7627246379852295,4
19,3.10480473899917e-05,0.18471171324833846,0.02749098726333334,0.2528031873397338,0.060591623306465454,0.0012425696869076302,0.0024410361089767553,0.5582141207797187,0.7580757141113281,0.6104041337966919,0.8456214666366577,0.9971171617507935,0.6869563460350037,0.7627246379852295,5
20,2.934120444167327e-05,0.1817860964876719,0.02597809901747566,0.251946852184259,0.059138950342551254,0.0012323261047967183,0.0024133566125200535,0.540117631639753,0.7454970479011536,0.5942568778991699,0.8569061756134033,0.9966936111450195,0.6597241759300232,0.7627246379852295,6
21,2.7613211581691344e-05,0.17805233124930125,0.025548056582920253,0.24625068368055883,0.05815217295327248,0.001145100971394314,0.00233665711652392,0.49514915645122526,0.7356826663017273,0.5818813443183899,0.8698775768280029,0.9962974190711975,0.6373582482337952,0.7627246379852295,7
22,2.5872487417562535e-05,0.17743710055947304,0.02458186675973523,0.24632448091720924,0.05859653790218708,0.001164671396672463,0.0023360405287418803,0.5138106665440968,0.7424225807189941,0.5903593301773071,0.8609264492988586,0.9965713620185852,0.6525948643684387,0.7627246379852295,8
23,2.4127512582437488e-05,0.17649761854838103,0.02467379399623053,0.24426555538024658,0.05844756836692492,0.0011606452539219903,0.0023392174857107396,0.517061089192118,0.7458521127700806,0.594708263874054,0.860359251499176,0.9966583251953125,0.6582448482513428,0.7627246379852295,9
