epoch,lr,train_loss,train_fg_loss,train_bg_loss,val_loss,val_dice_thr050,val_iou_thr050,val_sensitivity_thr050,val_specificity_thr050,val_precision_thr050,best_val_dice_so_far,epochs_without_improvement
1,9.98458666866564e-05,0.6227049143650593,0.21405805122011748,0.9081041602752148,1.2448589716638838,0.019253019243478775,0.00972008053213358,0.21162304282188416,0.8446065783500671,0.010085278190672398,-1.0,0
2,9.938441702975689e-05,0.3365929334018475,0.1386825835618835,0.43980078934094846,0.6535808554717473,0.029470957815647125,0.014955860562622547,0.6907851696014404,0.6619465947151184,0.015056660398840904,0.019253019243478775,0
3,9.861849601988383e-05,0.2796204545750068,0.12072404815504949,0.3531031335393588,0.4731100193091801,0.033417340368032455,0.01699259504675865,0.8296298384666443,0.6422358751296997,0.017052099108695984,0.029470957815647125,0
4,9.755282581475767e-05,0.2515719470878442,0.1071190316325579,0.32100648604906523,0.39353807483400616,0.03383506089448929,0.017208658158779144,0.880296528339386,0.6247957348823547,0.01724902167916298,0.033417340368032455,0
5,9.619397662556432e-05,0.22466831635206175,0.09723074418994096,0.28319461080126274,0.342437824181148,0.03146824240684509,0.01598563976585865,0.873659074306488,0.5986237525939941,0.016022680327296257,0.03383506089448929,0
6,9.455032620941837e-05,0.2157094637170816,0.09468498501258019,0.2689432921126867,0.3190090613705771,0.02324778214097023,0.011760595254600048,0.882326602935791,0.4462265372276306,0.011779069900512695,0.03383506089448929,1
7,9.26320082177046e-05,0.2022725661786703,0.087779129580714,0.2544298654374404,0.31249445038182394,0.021669810637831688,0.010953586548566818,0.8465767502784729,0.42929211258888245,0.010975372977554798,0.03383506089448929,2
8,9.045084971874737e-05,0.19239513494838506,0.08459932008423866,0.2395462605338066,0.35008434312684195,0.020650776103138924,0.010433114133775234,0.8219872713088989,0.41808003187179565,0.010456740856170654,0.03383506089448929,3
9,8.802029828000154e-05,0.1884063910215329,0.0815353261736723,0.23749126240802118,0.2966080107859203,0.022602880373597145,0.011430622078478336,0.858130156993866,0.4458604156970978,0.01145226415246725,0.03383506089448929,4
10,8.535533905932737e-05,0.18112106258288407,0.07969463564073428,0.2253920670885306,0.32704856246709824,0.021558986976742744,0.010896957479417324,0.8323912620544434,0.43602603673934937,0.010920919477939606,0.03383506089448929,5
11,8.247240241650918e-05,0.16941237210845336,0.07508003277083238,0.2096274246294529,0.3406683146953583,0.020792802795767784,0.010505622252821922,0.8042641282081604,0.43476855754852295,0.010532552376389503,0.03383506089448929,6
12,7.938926261462365e-05,0.166701641268073,0.07212968435711585,0.21015991050845537,0.30968219893319265,0.02236870490014553,0.01131085678935051,0.833063006401062,0.456493079662323,0.01133655197918415,0.03383506089448929,7
