epoch,lr,train_loss,val_loss,val_dice_thr050,val_iou_thr050,val_sensitivity_thr050,val_specificity_thr050,val_precision_thr050,best_val_dice_so_far,epochs_without_improvement
1,9.987820251299122e-05,0.8263901059444134,0.7097836017608643,0.4621438980102539,0.30051180720329285,0.40492087602615356,0.9974008202552795,0.5382021069526672,-1.0,0
2,9.951340343707852e-05,0.6245546088768885,0.6341193182127817,0.5969158411026001,0.4254312813282013,0.7164742946624756,0.9948821663856506,0.5115528106689453,0.4621438980102539,0
3,9.890738003669029e-05,0.5502739913570576,0.5574765520436423,0.6307880878448486,0.460694283246994,0.8123146295547485,0.9942901730537415,0.5155737400054932,0.5969158411026001,0
4,9.806308479691595e-05,0.490103050111196,0.5298574370997292,0.42609402537345886,0.27072393894195557,0.9502089619636536,0.9812235832214355,0.2746196985244751,0.6307880878448486,0
5,9.698463103929544e-05,0.4336363713328655,0.4823138134820121,0.5777521729469299,0.40622466802597046,0.8997761011123657,0.9909108281135559,0.4254767894744873,0.6307880878448486,1
6,9.567727288213005e-05,0.3780867338944704,0.40637988235269273,0.6713564991950989,0.5052947402000427,0.8729972839355469,0.9945561289787292,0.5453858971595764,0.6307880878448486,2
7,9.414737964294636e-05,0.3250895240941109,0.3463625528982707,0.7084239721298218,0.5484957695007324,0.8504577279090881,0.9958815574645996,0.607042670249939,0.6713564991950989,0
8,9.24024048078213e-05,0.28121605534584093,0.30887489914894106,0.7333891987800598,0.5790169835090637,0.8276445269584656,0.9967876672744751,0.6584072113037109,0.7084239721298218,0
9,9.045084971874738e-05,0.25023232753842306,0.2880072099821908,0.7221272587776184,0.5651010870933533,0.8147178888320923,0.9966955184936523,0.6484344005584717,0.7333891987800598,0
10,8.830222215594889e-05,0.2259904122314392,0.26574421567576273,0.7473586797714233,0.5966262221336365,0.8170763254165649,0.9972358345985413,0.6886031031608582,0.7333891987800598,1
11,8.596699001693255e-05,0.20880515118822074,0.24727310580866677,0.7247849106788635,0.568362832069397,0.8818588852882385,0.9958736300468445,0.615206241607666,0.7473586797714233,0
12,8.34565303179429e-05,0.19451548140018415,0.24743966460227967,0.7053227424621582,0.5447865724563599,0.8790774941444397,0.9954095482826233,0.5889194011688232,0.7473586797714233,1
13,8.07830737662829e-05,0.1867712477269845,0.2555551333086831,0.7342751622200012,0.5801222920417786,0.7979351282119751,0.9971911907196045,0.6800224184989929,0.7473586797714233,2
14,7.795964517353733e-05,0.1771412572513024,0.2462649141039167,0.7446008324623108,0.5931188464164734,0.8262613415718079,0.9970594048500061,0.677629828453064,0.7473586797714233,3
15,7.5e-05,0.17225214337500241,0.23664928759847367,0.7533033490180969,0.6042394638061523,0.8104289174079895,0.9974471926689148,0.703700840473175,0.7473586797714233,4
16,7.191855733945387e-05,0.1670981552451849,0.23836911214249476,0.7525135278701782,0.6032238006591797,0.8161259889602661,0.9973596334457397,0.6981005072593689,0.7533033490180969,0
17,6.87303296707956e-05,0.16215032243575805,0.22366878134863719,0.7521226406097412,0.6027215719223022,0.8572843074798584,0.9968404173851013,0.6699419021606445,0.7533033490180969,1
18,6.545084971874738e-05,0.15892106915513673,0.22878286050898688,0.7479028105735779,0.5973200798034668,0.8281968235969543,0.9971083998680115,0.6818017959594727,0.7533033490180969,2
19,6.20960947799834e-05,0.15665100194895878,0.22469182333775928,0.7524819374084473,0.6031832098960876,0.8553388118743896,0.99687260389328,0.6717072129249573,0.7533033490180969,3
20,5.868240888334654e-05,0.15320365890287435,0.23158450978142875,0.7543869614601135,0.6056351065635681,0.8313364386558533,0.9972120523452759,0.6904757022857666,0.7533033490180969,4
21,5.522642316338269e-05,0.15031964231569034,0.22817377469369343,0.7572177648544312,0.6092923879623413,0.8245546817779541,0.9973569512367249,0.700048565864563,0.7543869614601135,0
22,5.174497483512507e-05,0.14797167694912508,0.2325212612748146,0.7507598996162415,0.6009732484817505,0.8252661824226379,0.9972079992294312,0.6885926723480225,0.7572177648544312,0
23,4.8255025164874976e-05,0.14552911003239644,0.2272173455783299,0.7523508667945862,0.6030148267745972,0.8264254927635193,0.9972283840179443,0.6904629468917847,0.7572177648544312,1
24,4.4773576836617344e-05,0.1431752236512227,0.23057642706802914,0.7452927231788635,0.5939972996711731,0.8220469951629639,0.997127890586853,0.681647539138794,0.7572177648544312,2
25,4.1317591116653494e-05,0.14198465153383902,0.2254988778914724,0.7558887600898743,0.6075733304023743,0.8141506910324097,0.997456431388855,0.7054086327552795,0.7572177648544312,3
26,3.790390522001661e-05,0.14005937828467444,0.22590796628168652,0.7479579448699951,0.5973904132843018,0.832625150680542,0.9970542192459106,0.6789205074310303,0.7572177648544312,4
27,3.4549150281252636e-05,0.13763158505734724,0.22259728695665087,0.7491800785064697,0.5989511609077454,0.8473082184791565,0.9968979954719543,0.6714216470718384,0.7572177648544312,5
28,3.12696703292044e-05,0.13858492548267046,0.2284061087029321,0.75367671251297,0.6047201156616211,0.836341917514801,0.9971346259117126,0.685883104801178,0.7572177648544312,6
29,2.8081442660546125e-05,0.13658198131582674,0.22714626703943525,0.7623686790466309,0.6159901022911072,0.8126330971717834,0.9976118206977844,0.7179601192474365,0.7572177648544312,7
30,2.500000000000001e-05,0.13548679735798103,0.22700217004333223,0.7476652264595032,0.5970171093940735,0.8426858186721802,0.9969215989112854,0.671902060508728,0.7623686790466309,0
31,2.2040354826462665e-05,0.13346817989188892,0.22699369937181474,0.7607817053794861,0.6139206886291504,0.8233953714370728,0.9974474310874939,0.7070177793502808,0.7623686790466309,1
32,1.9216926233717085e-05,0.13247161912612426,0.22493216608251845,0.7550150156021118,0.6064450740814209,0.8356950879096985,0.9971719980239868,0.6885415315628052,0.7623686790466309,2
33,1.6543469682057086e-05,0.1314189081104138,0.22552456174577987,0.7558746933937073,0.6075551509857178,0.831689715385437,0.9972401857376099,0.6927272081375122,0.7623686790466309,3
34,1.4033009983067439e-05,0.13081052459967443,0.2273367470928601,0.7545059323310852,0.6057884693145752,0.8327345848083496,0.9971974492073059,0.6897130012512207,0.7623686790466309,4
35,1.1697777844051104e-05,0.1301297412182276,0.22788100178752627,0.758895993232727,0.6114684343338013,0.8173499703407288,0.9974811673164368,0.7082447409629822,0.7623686790466309,5
36,9.549150281252631e-06,0.12871027408311,0.22572569059474126,0.7583957314491272,0.6108192205429077,0.8242412209510803,0.99738609790802,0.702292263507843,0.7623686790466309,6
37,7.5975951921787005e-06,0.1294532406788606,0.2287198924592563,0.757850706577301,0.6101124286651611,0.8183301687240601,0.9974468946456909,0.7056955695152283,0.7623686790466309,7
38,5.852620357053661e-06,0.12800532135252768,0.22585124117987496,0.7561590671539307,0.6079226732254028,0.8287143111228943,0.9972829818725586,0.6952857375144958,0.7623686790466309,8
39,4.322727117869962e-06,0.1278203121649149,0.2274672365614346,0.7621053457260132,0.6156463623046875,0.8156533241271973,0.9975696802139282,0.7151551246643066,0.7623686790466309,9
