case_id,slice_idx,dice,gt_pixels,pred_pixels,threshold
radiopaedia_36,25,0.7527777778121142,278,442,0.035
coronacases_003,77,0.842521464077694,4925,3927,0.035
coronacases_003,98,0.8817422132200337,4075,3823,0.035
coronacases_003,104,0.9003327064964511,3582,3331,0.035
coronacases_003,93,0.9150479150490152,3918,3804,0.035
coronacases_003,111,0.9324888829007885,3771,3650,0.035
